x;y;z
-0.045;-1.006;0.0
-0.046;-1.006;0.001
-0.045;-1.006;0.003
-0.045;-1.01;0.008
-0.045;-1.01;0.008
-0.046;-1.01;0.0069999999999999
-0.049;-1.01;0.0069999999999999
-0.049;-1.008;0.006
-0.049;-1.005;0.002
-0.047;-1.005;0.003
-0.047;-1.004;0.001
-0.048;-1.003;0.0
-0.05;-1.004;0.002
-0.051;-1.005;0.004
-0.05;-1.006;0.003
-0.052;-1.008;0.002
-0.052;-1.009;0.002
-0.053;-1.009;0.004
-0.052;-1.008;0.001
-0.049;-1.005;0.0
-0.046;-1.003;-0.001
-0.044;-1.002;-0.001
-0.046;-1.002;-0.003
-0.049;-1.001;-0.004
-0.05;-1.002;-0.006
-0.05;-1.002;-0.009
-0.049;-1.002;-0.01
-0.051;-1.003;-0.008
-0.051;-1.005;-0.005
-0.048;-1.006;-0.004
-0.046;-1.007;-0.004
-0.047;-1.009;-0.004
-0.048;-1.009;-0.004
-0.051;-1.01;-0.004
-0.051;-1.011;-0.005
-0.054;-1.013;-0.001
-0.057;-1.011;-0.001
-0.055;-1.008;-0.004
-0.054;-1.005;-0.0069999999999999
-0.054;-1.004;-0.0069999999999999
-0.054;-1.004;-0.0069999999999999
-0.054;-1.005;-0.006
-0.053;-1.006;-0.0069999999999999
-0.05;-1.007;-0.009
-0.05;-1.007;-0.0069999999999999
-0.051;-1.008;-0.005
-0.053;-1.006;-0.005
-0.053;-1.004;-0.005
-0.053;-1.004;-0.005
-0.054;-1.005;-0.004
-0.0559999999999999;-1.006;-0.005
-0.055;-1.01;-0.005
-0.054;-1.012;-0.01
-0.054;-1.013;-0.016
-0.051;-1.012;-0.022
-0.05;-1.009;-0.025
-0.052;-1.009;-0.021
-0.057;-1.012;-0.015
-0.061;-1.01;-0.017
-0.066;-1.007;-0.0279999999999999
-0.069;-1.002;-0.034
-0.072;-1.0;-0.034
-0.073;-0.998;-0.03
-0.074;-0.998;-0.032
-0.07;-0.996;-0.033
-0.065;-0.994;-0.036
-0.067;-0.994;-0.035
-0.078;-0.993;-0.026
-0.094;-0.991;-0.017
-0.115;-0.988;-0.017
-0.133;-0.987;-0.01
-0.146;-0.99;-0.004
-0.157;-0.993;-0.002
-0.163;-0.997;-0.005
-0.165;-0.994;-0.005
-0.16;-0.991;0.005
-0.153;-0.993;0.01
-0.15;-1.001;0.017
-0.146;-1.008;0.021
-0.144;-1.013;0.023
-0.143;-1.014;0.026
-0.144;-1.012;0.03
-0.141;-1.01;0.03
-0.14;-1.008;0.025
-0.14;-1.006;0.0139999999999999
-0.143;-1.001;0.0069999999999999
-0.145;-0.994;0.005
-0.142;-0.985;0.0
-0.1369999999999999;-0.979;-0.006
-0.127;-0.977;-0.009
-0.121;-0.972;-0.013
-0.115;-0.96;-0.008
-0.11;-0.953;0.006
-0.104;-0.955;0.009
-0.089;-0.958;-0.005
-0.065;-0.948;-0.033
-0.03;-0.921;-0.05
0.008;-0.882;-0.053
0.02;-0.846;-0.0559999999999999
-0.004;-0.8440000000000001;-0.038
-0.034;-0.906;-0.003
-0.068;-1.022;0.016
-0.079;-1.141;0.03
-0.063;-1.228;0.048
-0.035;-1.252;0.072
-0.0139999999999999;-1.217;0.091
-0.003;-1.177;0.102
0.001;-1.152;0.107
0.015;-1.138;0.1119999999999999
0.025;-1.134;0.1159999999999999
0.027;-1.125;0.1159999999999999
0.0279999999999999;-1.104;0.107
0.033;-1.07;0.085
0.0409999999999999;-1.029;0.061
0.04;-0.984;0.04
0.035;-0.929;0.02
0.036;-0.882;0.02
0.03;-0.8640000000000001;0.0279999999999999
0.018;-0.868;0.022
-0.006;-0.882;0.019
-0.032;-0.904;0.024
-0.053;-0.924;0.0279999999999999
-0.057;-0.945;0.036
-0.044;-0.963;0.042
-0.025;-0.972;0.045
-0.01;-0.973;0.043
-0.001;-0.97;0.0279999999999999
-0.001;-0.964;0.036
0.003;-0.967;0.064
0.009;-0.974;0.093
0.004;-0.988;0.106
-0.0139999999999999;-0.996;0.125
-0.027;-1.0;0.141
-0.023;-1.012;0.155
-0.009;-1.026;0.166
0.006;-1.04;0.173
0.013;-1.039;0.168
0.015;-1.022;0.159
0.016;-1.016;0.157
0.008;-1.031;0.155
0.004;-1.04;0.151
0.0;-1.036;0.158
-0.001;-1.025;0.172
-0.006;-1.035;0.191
-0.006;-1.058;0.191
0.005;-1.07;0.1689999999999999
0.019;-1.074;0.127
0.01;-1.09;0.038
-0.037;-1.119;-0.0069999999999999
-0.088;-1.148;-0.002
-0.104;-1.134;0.031
-0.055;-1.083;0.0559999999999999
0.042;-1.021;0.054
0.131;-0.993;0.025
0.18;-1.018;-0.003
0.188;-1.045;-0.088
0.138;-1.084;-0.138
0.055;-1.086;-0.1989999999999999
-0.047;-1.046;-0.253
-0.139;-0.988;-0.273
-0.182;-0.934;-0.258
-0.163;-0.917;-0.242
-0.118;-0.961;-0.21
-0.095;-1.078;-0.16
-0.098;-1.202;-0.1169999999999999
-0.0969999999999999;-1.238;-0.08
-0.106;-1.203;-0.037
