x;y;z
-1.5936198;2.4430718;3.8500516
3.2422748;-6.6089764;7.2526455
-5.7810597;-2.3234308;0.85184485
-13.904693;-7.573684;1.97807
-15.716059;-8.906086;3.5796626
-16.127625;-9.923036;5.0775695
-15.4217415;-8.114061;6.355337
-14.639289;-6.6831536;6.8339014
-14.361721;-5.828916;6.7334027
-13.466805;-4.240082;5.194818
-13.600804;-3.2542388;3.397808
-12.9021;-3.0580273;4.1180477
-11.322837;-3.8548372;4.1108694
-10.018748;-3.586841;4.1371903
-9.255438;-3.4289148;4.5894337
-9.24826;-3.723232;4.1371903
-9.5353985;-2.268396;5.65424
-9.686146;2.9479575;-4.0941195
-9.24826;3.723232;3.8500516
-8.051848;3.7950168;-4.610969
-7.479964;2.6201408;-5.1421757
-9.65504;1.3782659;-2.8235307
-10.626525;2.6775684;-0.3062813
-10.171889;-0.29910284;2.3665016
-8.944371;0.14356937;1.9716859
-11.85165;-1.4237294;-0.49052864
-10.609776;5.477171;-4.2281175
-13.818551;6.963114;-2.6153553
-14.277973;5.1876397;-0.63170516
-15.187245;-6.3696938;0.7609176
-14.3689;-17.233109;6.101698
-11.88515;-9.573684;9.97807
-15.060426;-8.221739;12.9547415
-15.661024;-4.6875396;20.884556
-17.340786;2.548356;11.935399
5.063213;-0.19860429;-1.8400806
-1.5936198;2.4430718;3.8500516
3.2422748;-6.6089764;7.2526455
-5.7810597;-2.3234308;0.85184485
-13.904693;-7.573684;1.97807
-15.716059;-8.906086;3.5796626
-16.127625;-9.923036;5.0775695
-15.4217415;-8.114061;6.355337
-14.639289;-6.6831536;6.8339014
-14.361721;-5.828916;6.7334027
-13.466805;-4.240082;5.194818
-13.600804;-3.2542388;3.397808
-12.9021;-3.0580273;4.1180477
-11.322837;-3.8548372;4.1108694
-10.018748;-3.586841;4.1371903
-1.684547;1.741975;9.30808
-1.607977;1.840081;9.38465
-1.540978;1.933401;9.406186
0.064606;7.728817;9.095119
-2.069792;4.194618;4.108477
-3.739982;2.249253;1.359123
-5.046463;2.65364;1.182054
-6.360123;2.711068;3.005385
-8.343773;0.344566;5.532206
-10.348958;-2.861816;8.123632
-12.112468;-4.59422;9.690931
-13.686946;-4.974678;10.004392
-14.861821;-5.276174;10.291531
-15.493526;-5.721239;10.317851
-14.926428;-5.960521;10.54517
-14.239688;-6.321837;10.485349
-13.19881;-5.529813;9.801002
-11.712867;-4.232904;9.243474
-10.212567;-2.90728;8.10449
-8.422736;-1.387837;7.432107
-7.123433;-0.806381;7.633104
-6.008378;-0.691526;7.786245
-5.249853;-1.380659;7.913065
-4.067799;-1.399801;8.262417
-3.979264;-2.321038;9.035298
-4.189833;-4.118048;9.844072
-4.567898;-4.735396;9.597611
-4.295116;-4.156333;9.317652
-3.627519;-3.409772;9.099904
-3.192025;-2.852245;8.776874
-3.038885;-3.383451;8.666803
-3.261417;-2.61057;9.032906
-3.955336;-2.304288;9.35833
-4.350152;-2.696711;9.647861
-5.005785;-2.644069;9.896714
-5.204389;-2.124826;9.530613
-4.637291;-2.285146;9.272188
-3.804588;-2.617748;9.169296
-3.184847;-3.058027;9.576077
-2.813959;-3.503092;10.466207
-2.431108;-3.704089;11.514262
-2.09372;-3.713661;11.693725
-1.612763;-3.665804;11.205588
-1.107877;-4.089334;10.21496
-0.363709;-3.610769;9.233903
-0.081356;-3.385844;8.745767
-0.531207;-1.974079;8.937193
-1.26341;-1.904687;9.085547
-1.550549;-2.354538;8.975478
-3.285346;-1.51705;10.535598
-3.507878;-1.545763;10.870593
-3.735196;-1.677369;11.203196
-3.926622;-1.732404;11.382657
-4.144369;-1.868794;11.564512
-4.342973;-1.770689;11.507084
-4.465007;-1.718047;11.925828
-4.941179;-1.887937;12.954742
-6.697511;-3.364309;13.830515
-7.836494;-4.041478;14.388042
-9.128618;-5.242674;14.904892
-10.506885;-6.869794;14.964713
-12.354143;-8.099705;13.983656
-14.455042;-7.338787;11.676974
-13.277773;-2.440679;7.460821
-10.951949;1.349552;3.993621
-10.289138;3.766303;0.418744
-11.447264;5.075177;-1.799403
-13.457234;5.204389;-3.364309
-15.500705;3.89073;-3.749553
-16.8359;1.519442;-2.988636
-17.18286;0.299103;-2.124826
-16.486547;0.92363;-1.375873
-15.297316;1.634298;-0.504886
-14.263616;1.818545;0.356531
-13.780266;1.820938;1.282553
-13.813766;1.792224;2.088934
-13.983656;1.928615;2.727818
-14.036298;1.746761;3.565306
-13.99562;0.973879;4.529614
-14.017155;0.11007;5.364708
-14.02194;-0.354138;5.991628
-13.813766;-0.641277;6.431907
-13.318451;-0.930808;6.664011
-12.756138;-1.512264;6.798009
-12.346965;-2.239682;6.74776
-12.201003;-3.15374;6.687939
-12.246467;-4.254439;6.470192
-12.21536;-5.326423;6.321837
-11.947364;-6.183054;6.226124
-11.523834;-6.752545;6.197411
-11.052447;-7.211968;6.068198
-10.504492;-7.618747;5.998807
-9.980463;-7.884351;6.017949
-9.506684;-7.956135;6.099305
-8.973084;-7.891529;6.166304
-8.271988;-7.893922;6.003592
-7.365108;-7.963314;5.656633
-6.245267;-8.092526;5.300102
-5.02732;-8.128419;5.065606
-3.790231;-7.958528;4.917251
-2.608177;-7.745567;4.759324
-1.552942;-7.590034;4.52722
-0.667598;-7.412964;4.314259
0.155533;-7.12104;4.015156
0.997807;-7.015756;3.699304
1.868794;-7.331609;3.268596
2.720639;-7.67139;2.794817
3.486343;-7.771888;2.493321
3.885944;-6.910472;2.603391
3.45045;-7.180861;2.792424
2.778067;-7.135397;2.773281
2.328216;-7.745567;2.715854
1.919044;-8.645268;2.557927
1.531407;-9.501899;2.366502
1.287339;-10.059426;2.426322
1.253839;-10.291531;2.675176
1.37348;-10.24846;3.007778
1.433301;-10.13839;3.416951
1.361516;-10.054641;3.792624
1.196411;-9.997213;4.173083
1.004986;-9.934999;4.575077
0.849452;-9.856036;4.902894
0.753739;-9.827323;5.228317
0.631705;-9.887143;5.4676
0.378066;-10.001999;5.673382
0.038285;-10.183853;5.769095
-0.342174;-10.329815;5.838487
-0.751346;-10.317851;5.900701
-1.217947;-10.097712;5.943771
-1.76351;-9.820144;5.955736
-2.397608;-9.592826;5.931808
-3.074777;-9.439685;5.843273
-3.701697;-9.260223;5.749953
-4.182654;-8.9348;5.582455
-4.486542;-8.554341;5.316852
-4.685147;-8.102098;5.17089
-4.878965;-7.525427;5.079962
-5.108676;-6.999006;4.981857
-5.414958;-6.45105;4.828716
-5.84088;-5.895915;4.728218
-6.48455;-5.316852;4.625326
-7.331609;-4.685147;4.599005
-8.204989;-4.237689;4.567898
-8.745767;-4.034299;4.453043
-8.796016;-4.175476;4.314259
-8.554341;-4.24726;4.130012
-8.343773;-4.139583;3.847659
-8.300702;-4.146761;3.328416
-8.228917;-4.304688;2.897708
-7.970492;-4.620541;2.603391
-7.642675;-4.790431;2.612962
-7.448857;-4.945964;2.773281
-8.070991;-6.183054;3.433701
-9.982856;-7.67139;3.524628
-12.282358;-6.372087;3.909872
-13.718052;-3.694518;5.496314
-14.684752;-1.634298;7.561319
-15.017355;0.854238;9.111869
-14.785251;2.749353;9.480363
-14.675181;3.259024;8.774481
-6.063413;-1.844866;6.977471
-9.377472;-9.334401;4.84068
-5.278567;-7.707282;1.679762
-5.56092;-3.658626;-0.275175
-8.346166;-1.043271;1.524228
-10.258031;3.321238;2.108077
-9.832109;-1.887937;-1.131805
-9.049655;-2.945565;-0.801596
-9.422936;-4.448257;1.799403
-9.317652;-2.29711;5.517849
-10.279566;-1.064806;7.563713
-9.815359;-0.09332;5.697311
-11.743974;-1.426122;4.596613
-11.047662;0.569492;2.050649
-9.470792;-4.847859;0.409173
-7.889136;-5.998807;-1.134198
1.107877;-9.425328;-1.90708
1.146162;-9.454042;-1.952543
1.158126;-9.387043;-1.940579
1.174876;-9.355937;-2.081756
1.275374;-9.372686;-1.981257
1.426122;-9.430114;-2.103291
1.564906;-9.525827;-2.182254
1.509871;-9.686146;-2.031507
1.31366;-10.059426;-1.708475
0.892523;-9.973285;-1.469193
1.134198;-9.889536;-1.818545
1.225125;-9.91825;-1.275374
1.115055;-9.473185;-1.112663
0.823131;-9.449257;-0.87338
1.225125;-9.360723;-0.868595
1.37348;-8.891729;-0.291924
1.282553;-9.164511;-0.035892
1.653441;-9.487542;-0.404387
1.287339;-9.360723;0.320638
1.730011;-9.35833;0.069392
