x;y;z
0.012345;0.023456;9.789012
0.011234;0.022345;9.788012
0.009123;0.021234;9.787012
0.006012;0.020123;9.786012
0.002901;0.019012;9.785012
-0.0012;0.017901;9.784012
-0.006301;0.01679;9.783012
-0.012402;0.015679;9.782012
-0.019503;0.014568;9.781012
-0.027604;0.013457;9.780012
-0.036705;0.012346;9.779012
-0.046806;0.011235;9.778012
-0.057907;0.010124;9.777012
-0.069008;0.009013;9.776012
-0.080109;0.007902;9.775012
-0.09121;0.006791;9.774012
-0.102311;0.00568;9.773012
-0.113412;0.004569;9.772012
-0.124513;0.003458;9.771012
-0.135614;0.002347;9.770012
-0.146715;0.001236;9.769012
-0.157816;0.000125;9.768012
-0.168917;-0.000986;9.767012
-0.170018;-0.002097;9.766012
-0.171119;-0.003208;2.345678
-0.17222;-0.004319;1.234567
-0.173321;-0.00543;0.123456
-0.174422;-0.006541;-0.987654
-0.175523;-0.007652;-2.098765
-0.176624;-0.008763;-3.209876
-0.177725;-0.009874;-4.320987
-0.178826;-0.010985;-5.432098
-0.179927;-0.012096;-6.543209
-0.181028;-0.013207;-7.654321
-0.182129;-0.014318;-8.765432
-0.18323;-0.015429;-9.876543
-0.184331;-0.01654;-9.987654
-0.185432;-0.017651;-9.098765
-0.186533;-0.018762;-8.209876
-0.187634;-0.019873;-7.320987
-0.188735;-0.020984;-6.432098
-0.189836;-0.022095;-5.543209
-0.190937;-0.023206;-4.654321
-0.192038;-0.024317;-3.765432
-0.193139;-0.025428;-2.876543
-0.19424;-0.026539;-1.987654
-0.195341;-0.02765;-1.098765
-0.196442;-0.028761;-0.209876
-0.012345;0.234567;9.876543
-0.012345;0.234567;9.876543
-0.012345;0.234567;9.876543
-0.012345;0.234567;9.876543
-0.012345;0.234567;9.876543
-0.012345;0.234567;9.876543
-0.012345;0.234567;9.876543
-0.012345;0.234567;9.876543
-0.012345;0.234567;9.876543
-0.012345;0.234567;9.876543
-0.013456;0.234567;9.875432
-0.014567;0.234567;9.874321
-0.015678;0.234567;9.87321
-0.016789;0.234567;9.8721
-0.02789;0.223456;9.761
-0.038901;0.212345;9.650099
-0.049012;0.201234;9.539988
-0.050123;0.190123;9.428877
-0.061234;0.179012;9.317766
-0.072345;0.167901;9.206655
-0.083456;0.15679;9.095544
-0.094567;0.145679;8.984433
-0.105678;0.134568;8.873322
-0.206789;0.023457;8.762211
-0.30789;0.012346;8.6511
-0.508901;0.001235;8.540099
-0.709012;-0.009876;8.429988
-0.910123;-0.020987;8.318877
-1.021234;-0.032098;8.207766
-1.233456;-0.14321;0.864321
-1.455678;-0.365432;0.6421
-1.566789;-0.476543;0.531
-1.67789;-0.587654;0.310099
-1.788901;-0.698765;0.209988
-1.899012;-0.809876;0.198877
-1.900123;-0.920987;0.087766
-1.911234;-1.032098;-0.024456
-1.922345;-1.04321;-0.135678
-1.922345;-1.04321;-0.135678
-1.922345;-1.04321;-0.135678
-1.922345;-1.04321;-0.135678
-1.922345;-1.04321;-0.135678
-1.922345;-1.04321;-0.135678
-0.2;0.3;9.8
-0.19;0.29;9.81
-0.18;0.31;9.79
-0.17;0.32;9.82
-0.195;0.285;9.785
-0.21;0.305;9.815
-0.185;0.315;9.805
-0.175;0.295;9.795
-0.205;0.325;9.825
-0.198;0.302;9.782
-0.168;0.288;9.818
-0.182;0.312;9.802
-0.172;0.292;9.792
-0.165;0.328;9.828
-0.192;0.308;9.788
-0.162;0.282;9.812
-0.155;0.318;9.77
-0.148;0.3;9.76
-0.14;0.28;9.75
-0.13;0.27;9.74
-0.12;0.26;9.73
-0.1;0.24;9.7
-0.08;0.22;9.68
-0.05;0.2;9.65
-0.02;0.16;9.6
0.0;0.1;9.5
0.05;0.05;9.3
0.12;-0.01;9.0
0.3;-0.15;8.5
0.8;-0.4;7.0
1.5;-0.8;5.0
2.5;-1.0;2.0
2.8;-1.2;-1.0
2.9;-1.3;-1.5
3.0;-1.4;-1.8
3.1;-1.5;-2.0
3.15;-1.55;-2.1
3.2;-1.6;-2.15
3.22;-1.62;-2.18
3.23;-1.63;-2.2
3.24;-1.64;-2.21
3.25;-1.65;-2.22
-0.2;0.3;9.8
-0.19;0.29;9.81
-0.18;0.31;9.79
-0.17;0.32;9.82
-0.195;0.285;9.785
-0.21;0.305;9.815
-0.185;0.315;9.805
-0.175;0.295;9.795
-0.205;0.325;9.825
-0.198;0.302;9.782
-0.168;0.288;9.818
-0.182;0.312;9.802
-0.172;0.292;9.792
-0.165;0.328;9.828
-0.192;0.308;9.788
-0.18;0.3;9.8
-0.15;0.28;9.78
-0.1;0.25;9.75
-0.05;0.2;9.7
0.0;0.15;9.65
0.05;0.1;9.6
0.1;0.05;9.55
0.15;0.0;9.5
0.2;-0.05;9.4
0.3;-0.1;9.2
0.5;-0.15;8.8
0.8;-0.2;8.0
1.2;-0.3;6.5
1.8;-0.5;4.0
2.5;-0.8;1.0
2.8;-1.0;-1.5
2.9;-1.1;-2.0
2.95;-1.15;-2.2
2.98;-1.18;-2.3
3.0;-1.2;-2.4
3.0;-1.2;-2.4
3.0;-1.2;-2.4
3.0;-1.2;-2.4
3.0;-1.2;-2.4
3.0;-1.2;-2.4
0.012345;0.023456;9.789012
0.011234;0.022345;9.788012
0.009123;0.021234;9.787012
0.006012;0.020123;9.786012
0.002901;0.019012;9.785012
-0.0012;0.017901;9.784012
-0.006301;0.01679;9.783012
-0.012402;0.015679;9.782012
-0.019503;0.014568;9.781012
-0.027604;0.013457;9.780012
-0.036705;0.012346;9.779012
-0.046806;0.011235;9.778012
-0.057907;0.010124;9.777012
-0.069008;0.009013;9.776012
-0.080109;0.007902;9.775012
-0.09121;0.006791;9.774012
-0.102311;0.00568;9.773012
-0.113412;0.004569;9.772012
-0.124513;0.003458;9.771012
-0.135614;0.002347;9.770012
-0.146715;0.001236;9.769012
-0.157816;0.000125;9.768012
-0.168917;-0.000986;9.767012
-0.170018;-0.002097;9.766012
-0.200018;-0.003208;7.766012
-0.30002;-0.004319;5.765012
-0.500021;-0.00543;3.764012
-0.750022;-0.006541;1.763012
-1.000023;-0.007652;-0.236988
-1.250024;-0.008763;-2.237988
-1.500025;-0.009874;-4.238988
-1.600026;-0.010985;-5.239987
