x;y;z
-1.23;9.81;0.15
-1.26;9.75;0.2
-1.28;9.7;0.25
-1.31;9.6;0.3
-1.35;9.5;0.35
-1.4;9.4;0.4
-1.45;9.2;0.45
-1.5;9.0;0.5
-1.55;8.7;0.55
-1.6;8.3;0.6
-1.65;8.0;0.65
-1.7;7.6;0.7
-1.75;7.2;0.75
-1.8;6.8;0.8
-1.85;6.4;0.85
-1.9;6.0;0.9
-1.95;5.5;0.95
-2.0;5.0;1.0
-2.05;4.5;1.05
-2.1;4.0;1.1
-2.15;3.5;1.15
-2.2;3.0;1.2
-2.25;2.5;1.25
-2.3;2.0;1.3
-2.35;1.5;1.35
-2.4;1.0;1.4
-2.45;0.5;1.45
-2.5;0.0;1.5
-2.45;-0.5;1.55
-2.4;-1.0;1.6
-2.35;-1.5;1.65
-2.3;-2.0;1.7
-2.25;-2.5;1.75
-2.2;-3.0;1.8
-2.15;-3.5;1.85
-2.1;-4.0;1.9
-2.05;-4.5;1.95
-2.0;-5.0;2.0
-1.95;-5.5;2.05
-1.9;-6.0;2.1
-1.85;-6.4;2.15
-1.8;-6.8;2.2
-1.75;-7.2;2.25
-1.7;-7.6;2.3
-1.65;-8.0;2.35
-1.6;-8.3;2.4
-1.55;-8.7;2.45
-1.5;-9.0;2.5
-1.45;-9.2;2.55
-1.4;-9.4;2.6
-1.35;-9.5;2.65
0.0;9.81;0.0
0.05;9.8;0.05
0.1;9.79;0.1
0.15;9.78;0.15
0.2;9.77;0.2
0.25;9.76;0.25
0.3;9.75;0.3
0.35;9.74;0.35
0.4;9.73;0.4
0.45;9.72;0.45
0.5;9.71;0.5
0.55;9.7;0.55
0.6;9.69;0.6
0.65;9.68;0.65
0.7;9.67;0.7
0.75;9.66;0.75
0.8;9.65;0.8
0.85;9.64;0.85
0.9;9.63;0.9
0.95;9.62;0.95
1.0;9.61;1.0
1.05;9.6;1.05
1.1;9.59;1.1
1.15;9.58;1.15
1.2;9.57;1.2
1.25;9.56;1.25
1.3;9.55;1.3
1.35;9.54;1.35
1.4;9.53;1.4
1.45;9.52;1.45
1.5;9.51;1.5
1.55;9.5;1.55
1.6;9.49;1.6
1.65;9.48;1.65
1.7;9.47;1.7
1.75;9.46;1.75
1.8;9.45;1.8
1.85;9.44;1.85
1.9;9.43;1.9
1.95;9.42;1.95
2.0;9.41;2.0
1.9;8.5;2.1
1.8;7.6;2.2
1.7;6.7;2.3
1.6;5.8;2.4
1.5;4.9;2.5
1.4;4.0;2.6
1.3;3.1;2.7
1.2;2.2;2.8
1.1;1.3;2.9
1.0;0.4;3.0
0.9;-0.5;3.1
0.8;-1.4;3.2
0.7;-2.3;3.3
0.6;-3.2;3.4
0.5;-4.1;3.5
0.4;-5.0;3.6
0.3;-5.9;3.7
0.2;-6.8;3.8
0.1;-7.7;3.9
0.0;-8.6;4.0
-0.1;-9.5;4.1
-0.2;-9.6;4.2
-0.3;-9.7;4.3
-0.4;-9.8;4.4
-0.5;-9.9;4.5
-0.6;-9.81;4.6
-0.7;-9.81;4.7
-0.8;-9.81;4.8
-0.9;-9.81;4.9
-1.0;-9.81;5.0
-1.1;-9.81;5.1
-1.2;-9.81;5.2
-1.3;-9.81;5.3
-1.4;-9.81;5.4
-1.5;-9.81;5.5
-1.6;-9.81;5.6
-1.7;-9.81;5.7
-1.8;-9.81;5.8
-1.9;-9.81;5.9
-2.0;-9.81;6.0
-2.1;-9.81;6.1
-2.2;-9.81;6.2
-2.3;-9.81;6.3
-2.4;-9.81;6.4
-2.5;-9.81;6.5
-2.6;-9.81;6.6
-2.7;-9.81;6.7
-2.8;-9.81;6.8
-2.9;-9.81;6.9
-3.0;-9.81;7.0
-3.1;-9.81;7.1
-3.2;-9.81;7.2
-3.3;-9.81;7.3
0.1;9.7;0.3
0.12;9.75;0.25
0.14;9.72;0.28
0.11;9.76;0.22
0.13;9.73;0.26
0.15;9.71;0.29
0.12;9.77;0.24
0.11;9.74;0.27
0.14;9.69;0.23
0.16;9.71;0.28
0.15;9.73;0.25
0.12;9.76;0.26
0.11;9.72;0.3
0.13;9.75;0.24
0.14;9.7;0.29
0.1;9.74;0.27
0.12;9.77;0.25
0.14;9.72;0.23
0.11;9.76;0.28
0.13;9.73;0.22
0.2;8.5;0.5
0.25;7.6;0.6
0.3;6.8;0.7
0.35;6.0;0.8
0.4;5.2;0.9
0.45;4.4;1.0
0.5;3.6;1.1
0.55;2.8;1.2
0.6;2.0;1.3
0.65;1.2;1.4
0.7;0.4;1.5
0.75;-0.4;1.6
0.8;-1.2;1.7
0.85;-2.0;1.8
0.9;-2.8;1.9
0.95;-3.6;2.0
1.0;-4.4;2.1
1.05;-5.2;2.2
1.1;-6.0;2.3
1.15;-6.8;2.4
1.2;-7.6;2.5
1.25;-8.4;2.6
1.3;-9.2;2.7
1.35;-9.81;2.8
1.4;-9.81;2.9
1.45;-9.81;3.0
1.5;-9.81;3.1
1.55;-9.81;3.2
1.6;-9.81;3.3
1.65;-9.81;3.4
1.7;-9.81;3.5
1.75;-9.81;3.6
1.8;-9.81;3.7
1.85;-9.81;3.8
1.9;-9.81;3.9
1.95;-9.81;4.0
2.0;-9.81;4.1
2.05;-9.81;4.2
2.1;-9.81;4.3
2.15;-9.81;4.4
2.2;-9.81;4.5
2.25;-9.81;4.6
2.3;-9.81;4.7
2.35;-9.81;4.8
2.4;-9.81;4.9
2.45;-9.81;5.0
2.5;-9.81;5.1
2.55;-9.81;5.2
2.6;-9.81;5.3
2.65;-9.81;5.4
2.7;-9.81;5.5
0.15;9.75;0.15
0.1;9.72;0.18
0.12;9.74;0.16
0.13;9.71;0.17
0.11;9.76;0.14
0.14;9.73;0.19
0.15;9.75;0.15
0.1;9.72;0.18
0.12;9.74;0.16
0.13;9.71;0.17
0.11;9.76;0.14
0.14;9.73;0.19
0.15;9.75;0.15
0.1;9.72;0.18
0.12;9.74;0.16
0.13;9.71;0.17
0.11;9.76;0.14
0.14;9.73;0.19
0.15;9.75;0.15
0.1;9.72;0.18
0.2;8.5;0.5
0.25;7.6;0.6
0.3;6.7;0.7
0.35;5.8;0.8
0.4;5.0;0.9
0.45;4.2;1.0
0.5;3.4;1.1
0.55;2.6;1.2
0.6;1.8;1.3
0.65;1.0;1.4
0.7;0.2;1.5
0.75;-0.6;1.6
0.8;-1.4;1.7
0.85;-2.2;1.8
0.9;-3.0;1.9
0.95;-3.8;2.0
1.0;-4.6;2.1
1.05;-5.4;2.2
1.1;-6.2;2.3
1.15;-7.0;2.4
1.2;-7.8;2.5
1.25;-8.6;2.6
1.3;-9.4;2.7
1.35;-9.81;2.8
1.4;-9.81;2.9
1.45;-9.81;3.0
1.5;-9.81;3.1
1.55;-9.81;3.2
1.6;-9.81;3.3
1.65;-9.81;3.4
1.7;-9.81;3.5
1.75;-9.81;3.6
1.8;-9.81;3.7
1.85;-9.81;3.8
1.9;-9.81;3.9
1.95;-9.81;4.0
2.0;-9.81;4.1
2.05;-9.81;4.2
2.1;-9.81;4.3
2.15;-9.81;4.4
2.2;-9.81;4.5
2.25;-9.81;4.6
2.3;-9.81;4.7
2.35;-9.81;4.8
2.4;-9.81;4.9
2.45;-9.81;5.0
2.5;-9.81;5.1
2.55;-9.81;5.2
2.6;-9.81;5.3
2.65;-9.81;5.4
2.7;-9.81;5.5
0.0;9.81;0.0
0.02;9.8;0.01
0.01;9.81;0.0
0.0;9.82;0.01
-0.01;9.8;0.02
0.0;9.81;0.01
0.02;9.8;0.01
0.01;9.81;0.0
0.0;9.82;0.01
-0.01;9.8;0.02
0.0;9.81;0.01
0.02;9.8;0.01
0.01;9.81;0.0
0.0;9.82;0.01
-0.01;9.8;0.02
0.0;9.81;0.01
0.02;9.8;0.01
0.01;9.81;0.0
0.0;9.82;0.01
-0.01;9.8;0.02
0.0;9.81;0.01
1.5;8.0;0.5
1.6;7.2;0.6
1.7;6.4;0.7
1.8;5.6;0.8
1.9;4.8;0.9
2.0;4.0;1.0
2.1;3.2;1.1
2.2;2.4;1.2
2.3;1.6;1.3
2.4;0.8;1.4
2.5;0.0;1.5
2.55;-0.8;1.6
2.6;-1.6;1.7
2.65;-2.4;1.8
2.7;-3.2;1.9
2.75;-4.0;2.0
2.8;-4.8;2.1
2.85;-5.6;2.2
2.9;-6.4;2.3
2.95;-7.2;2.4
3.0;-8.0;2.5
3.05;-8.8;2.6
3.1;-9.6;2.7
3.15;-9.81;2.8
3.2;-9.81;2.9
3.25;-9.81;3.0
3.3;-9.81;3.1
3.35;-9.81;3.2
3.4;-9.81;3.3
3.45;-9.81;3.4
3.5;-9.81;3.5
3.55;-9.81;3.6
3.6;-9.81;3.7
3.65;-9.81;3.8
3.7;-9.81;3.9
3.75;-9.81;4.0
3.8;-9.81;4.1
3.85;-9.81;4.2
3.9;-9.81;4.3
3.95;-9.81;4.4
4.0;-9.81;4.5
4.05;-9.81;4.6
4.1;-9.81;4.7
4.15;-9.81;4.8
4.2;-9.81;4.9
4.25;-9.81;5.0
