x;y;z
0.6332853;2.7253873;2.3266215
0.8994846;3.6867175;1.2825661
0.21430956;4.734093;1.224753
-0.024763703;4.213196;0.9408871
-0.24159636;3.4947844;0.03349712
-0.31950343;2.9814167;-0.9336577
-0.050157394;2.2633178;-1.1970904
-0.6915278;1.7598556;-1.0450827
-0.4718536;1.2650734;-0.7365116
-0.3973443;0.62079465;-1.0300071
-0.44121823;0.13840027;-0.91111183
-0.5396071;0.4913996;-0.5595144
-0.22501965;0.48503032;-0.6602644
-0.31720704;0.3731765;-0.59992814
-0.15911795;0.080196835;-0.6868918
-0.13998282;0.24749704;-0.5021478
-0.11401968;0.1091346;-0.21386653
-0.06273032;0.09569237;-0.4230845
-0.013798218;-0.09798277;-0.37066114
0.04040301;0.18861759;-0.2516465
0.10876317;0.2678231;-0.31265682
0.11236084;0.3083188;-0.22629364
-0.002118243;0.25418413;-0.23342119
0.0117900185;0.28042787;0.016964704
0.070857085;0.032171562;0.09148205
0.10194241;-0.07354005;0.3551768
0.18731663;-0.09191875;0.7343344
-0.009081833;-0.3056677;0.5229553
-0.026574206;-0.28889328;0.62670004
0.16640913;-0.4315338;0.60775256
0.24334064;-0.25993282;0.39820603
0.44081774;-0.39079598;0.36475807
0.38197803;-0.33066788;0.57374775
0.5506921;-0.405116;0.767847
0.56768405;-0.47600496;0.7415931
0.7479447;-0.80742955;0.54757303
0.537743;-1.2790277;0.4182795
0.48936644;-1.5481626;0.58054423
-0.024402991;-1.8435789;0.45512334
-0.21683644;-2.2554703;0.45882756
-0.2563616;-2.4133162;0.7047852
-0.5290455;-2.1583905;0.5881148
-0.7340875;-1.7695242;1.199623
-0.98012847;-1.0511857;1.0860224
-1.0901229;-0.7912151;0.89907837
-0.90370554;-0.72785574;0.8743267
-0.94590455;-1.1377014;0.6794534
-0.76289004;-1.5803581;0.60312724
-0.80771613;-2.2957137;-0.093520515
-0.2879352;-2.739276;-0.7589969
-0.40351078;-3.0310438;-1.1705995
0.0024797441;-2.8058875;-1.3893063
-0.29252845;-2.4585056;-1.4203793
-0.09518629;-1.8500477;-1.0085605
-0.29441363;-1.4528552;-0.7738038
-0.013816901;-0.9329451;-0.5695185
-0.034421608;-0.590867;-0.36063984
0.20733856;-0.31565636;-0.31265432
0.14898117;-0.47734138;-0.12926327
-0.09490031;-0.25699475;-0.12916237
-0.07100567;-0.22994484;-0.028448401
-0.25027618;-0.05767727;0.15927371
-0.2725614;0.039973322;0.043578796
-0.2750841;-0.088153735;0.058156144
-0.123974286;-0.055688854;-0.14343324
-0.1058382;-0.21539666;-0.23528072
0.13237876;0.07370944;-0.057755698
0.40380025;-0.10076056;-0.24029918
0.24986517;-0.093611956;-0.06686559
0.19646497;-0.103983015;-0.37377116
0.2252298;-0.102809556;-0.19740587
0.19470036;-0.093811035;-0.22199553
0.3531787;-0.0045011085;-0.34054333
0.22899206;-0.00664903;-0.3876164
0.12581646;-0.089014366;-0.25806302
-0.14706874;0.07372667;-0.119462214
-0.10347244;-0.008490275;-0.056307804
-0.16828775;-0.06506948;-0.12372518
-0.24641891;-0.14282611;-0.098114565
-0.26393533;-0.067479536;-0.05183988
-0.24696206;0.030520983;0.025611885
-0.35461533;0.1516107;-0.03291758
-0.197109;0.011484011;-0.19650659
-0.48243615;0.15415928;-0.05303301
-0.5623806;-0.009961819;-0.033793513
-0.65623343;0.073136844;0.18022722
-0.3034468;-0.14218682;0.08741804
-0.53397125;-0.23993506;0.32664138
-0.27817687;0.0026450052;0.21452585
-0.14848259;-0.025015773;0.22222823
0.0123556815;0.15803343;-0.031145548
