x;y;z
-0.042107474;0.007865057;-0.030466225
-0.06490851;0.015761646;-0.03609761
-0.08935573;-0.019544087;-0.04829599
-0.12069955;-0.004252882;-0.06654336
-0.15431966;-0.0028516508;-0.087707475
-0.19106615;-0.0020444607;-0.11084357
-0.22682959;-0.0046274685;-0.13467531
-0.25875765;-0.0045656683;-0.1532562
-0.27739632;-0.005447271;-0.16124731
-0.29004258;-0.0082774805;-0.1615771
-0.29844618;-0.02542396;-0.16152698
-0.31422958;-0.04436518;-0.1647552
-0.3386083;-0.053832002;-0.16386256
-0.37514877;-0.09810006;-0.1732291
-0.42552784;-0.12988442;-0.18785675
-0.48274276;-0.12084642;-0.2046619
-0.53851706;-0.20037228;-0.22523941
-0.5618559;-0.25670153;-0.23713537
-0.5363563;-0.31040868;-0.21957426
-0.45906532;-0.36206;-0.1902515
-0.35686055;-0.36672154;-0.15114285
-0.2600564;-0.40277892;-0.12130583
-0.1907371;-0.43487233;-0.100809194
-0.13755777;-0.48435557;-0.081979915
-0.10575702;-0.5289856;-0.071065195
-0.09117147;-0.5455519;-0.068624385
-0.09728215;-0.6215426;-0.0692528
-0.10427002;-0.66171914;-0.07199755
-0.11086564;-0.6604668;-0.074061885
-0.11553536;-0.63972574;-0.085166104
-0.10961765;-0.67479944;-0.09548552
-0.09741963;-0.64897066;-0.10893879
-0.06973617;-0.60880536;-0.11218205
-0.036109768;-0.58434683;-0.10798561
-0.0011660111;-0.52316;-0.09086468
0.02907019;-0.4571066;-0.06541013
0.063742146;-0.37260833;-0.028974336
0.09434411;-0.25907454;0.00466499
0.12517561;-0.16265129;0.022691496
0.15271024;-0.1081294;0.018160513
0.1822307;0.011827855;0.008596257
0.19794063;0.052546173;-0.01851681
0.21014307;0.056187987;-0.043035205
0.21131727;0.08811802;-0.058478072
0.20667467;0.0590781;-0.06195561
0.19288939;0.010091135;-0.064926445
0.17286098;-0.022593752;-0.06238443
0.14543545;-0.016085781;-0.0611913
0.11043241;-0.02586224;-0.06440398
0.07863291;0.0023862552;-0.062076688
0.04440175;-0.0082699135;-0.06522631
0.008664049;-0.07013661;-0.06860862
-0.032899927;-0.06230056;-0.07338176
-0.08069692;-0.06432483;-0.083543845
-0.12815528;-0.044904355;-0.091169894
-0.17546731;-0.035235103;-0.08868874
-0.22125897;-0.030139716;-0.08141834
-0.24973068;0.011824071;-0.06982445
-0.25329304;-0.025860347;-0.053188138
-0.23473147;-0.07047209;-0.045466233
-0.19370541;-0.049045615;-0.03771532
-0.14732604;-0.104437135;-0.028143812
-0.10385003;-0.10842831;-0.018469514
-0.06712415;-0.14166498;-0.012921345
-0.038323235;-0.13887261;-0.012441445
-0.017621966;-0.14829719;-0.009685649
-0.0064840056;-0.09883978;-0.008717021
0.0028144442;-0.048309688;-0.004527831
0.0039905454;-0.009512229;0.0007390833
0.0035894727;-0.009181785;0.002446164
0.00052278163;0.02342112;0.003294344
