x;y;z
-0.13762903;0.13999562;-0.13847406
-0.24168716;-0.018160256;-0.33495536
-0.19818088;0.14550948;0.0323762
-0.13858569;0.0005230772;-0.09862365
0.09644911;0.1417478;0.17170155
-0.0422318;0.047259197;0.18552703
0.053466246;0.1561328;0.21627855
0.004108471;0.010390915;0.010155498
0.030808799;0.04393281;-0.026962016
0.024919467;-0.08364521;0.02741736
-0.014956347;-0.08338304;-0.05859919
-0.031699862;-0.15649517;-0.09671231
-0.027257163;-0.15614271;-0.12817106
-0.02985846;-0.2123324;-0.091059305
0.021451702;-0.11778066;-0.061924037
-0.0013930333;-0.07256926;-0.0010157665
-0.0053854706;-0.06362391;0.07846106
0.043966;-0.024036424;0.0569779
-0.0065067075;-0.043381296;0.00027844703
-0.06467357;-0.01227912;-0.0024901987
-0.013143953;-0.051490717;0.024545569
-0.0149904005;-0.0693492;0.030131988
-0.021081531;-0.062357668;0.011814278
-0.0073719146;-0.12886775;-0.0032234907
0.010396984;-0.06247638;-0.055007786
0.033234153;-0.07878923;-0.05214873
-0.003900367;-0.11374449;-0.09619444
0.029265048;-0.09345486;-0.029148228
-0.0060873474;-0.12511358;-0.104274966
0.012498201;-0.1731517;-0.057629656
-0.05869847;-0.15581004;-0.14381416
0.018907163;-0.18356618;-0.06691636
-0.024814153;-0.18191397;-0.1393581
0.042716112;-0.31927216;-0.035286024
-0.09429429;-0.23249954;-0.15798362
-0.027315812;-0.3367844;-0.104849
-0.10324022;-0.22464725;-0.18705988
-0.10750004;-0.3751229;-0.06680017
-0.13600141;-0.2317007;-0.20235258
-0.099571295;-0.22745194;-0.1714938
-0.055668987;-0.19546197;-0.2166567
-0.07641251;-0.10781408;-0.19644606
-0.050851073;-0.0018943739;-0.2165637
-0.051527094;-0.05529692;-0.16989914
0.0046671974;-0.005549746;-0.16166896
-0.06932689;-0.009197551;-0.12496309
-0.059785027;0.041645326;-0.09071932
-0.07889209;0.088187076;-0.03178121
-0.0954294;0.1374966;-0.012586172
-0.15059263;0.15018368;0.03267385
-0.11442863;0.12748271;0.0404235
-0.13823505;0.099847816;0.0575703
-0.15892813;0.09871523;0.033878643
-0.13833785;0.05463667;0.034083594
-0.11538086;0.09550003;-0.0009733576
-0.145286;0.03692421;-0.011288047
-0.11246362;0.06785535;-0.027720982
-0.1154433;0.020304296;-0.023592334
-0.06377998;0.053360615;-0.018316906
-0.080089;0.016822344;-0.027689766
-0.035340413;0.024459116;-0.032454394
-0.0600934;-0.0064398623;-0.014834638
-0.018359156;0.0038751424;0.00096610544
-0.028538577;0.005136692;-0.012408023
-0.0041336953;0.02625732;-0.0056427624
-0.02583134;0.0030619616;0.010421263
0.0015967226;0.020329203;0.02067636
-0.0314123;0.0113738105;0.011928754
-0.022928607;0.028527541;0.0045659835
-0.02648655;0.0035812748;0.018962028
-0.0067444504;0.020316908;0.00945705
-0.019457376;0.0156200705;-0.004140632
-0.01451586;0.029388335;-0.009776773
-0.0149629675;0.015689755;-0.006220092
-0.00072615565;0.032294217;-0.010329824
-0.01652217;0.008603825;-0.021260941
-0.012613288;0.017591696;-0.025522651
-0.017863177;0.007926227;-0.031352706
-0.01560935;0.008064963;-0.036375888
-0.01793475;0.0059132967;-0.03885453
-0.017378861;0.004219144;-0.039509106
-0.018743202;0.0030543942;-0.044545844
-0.01790732;0.0011275434;-0.04525561
-0.017928129;0.0014863646;-0.043833565
-0.018362941;0.0011994338;-0.044275627
-0.019138599;0.0004972416;-0.04464422
-0.019401882;0.00030427278;-0.044572018
-0.019572148;0.0;-0.044295177
-0.01977174;0.0;-0.04420626
-0.019970698;0.0;-0.044117026
-0.020169659;0.0;-0.0440259
-0.020367987;0.0;-0.043934777
-0.020565372;0.0;-0.04384271
-0.020763386;0.0;-0.04374938
-0.020960452;0.0;-0.043655414
-0.021156574;0.0;-0.04356051
-0.021353327;0.0;-0.04346434
-0.021548817;0.0;-0.04336785
-0.021743994;0.0;-0.04327011
-0.02193917;0.0;-0.04317205
-0.0221334;0.0;-0.043072093
-0.022327315;0.0;-0.04297246
-0.022520915;0.0;-0.04287061
-0.022713883;0.0;-0.042769086
-0.022533212;-2.2386908e-05;-0.042619314
-0.022663748;0.00013369083;-0.04251053
-0.022681406;0.001112724;-0.041519832
-0.02331959;0.0018253213;-0.04173708
-0.02137666;0.0032817316;-0.04094219
-0.022245336;0.0017313594;-0.04382064
-0.02056001;0.008945304;-0.039972298
-0.024179123;0.009143002;-0.042079505
-0.016377127;0.01707459;-0.037156593
-0.023105811;0.0058341543;-0.042846337
-0.015082154;0.0125413975;-0.042074148
-0.01798331;-0.0053965063;-0.04101912
-0.013480702;0.006783864;-0.043031737
-0.016936485;0.0007097596;-0.03861237
-0.018285375;0.002616746;-0.049374484
-0.012188252;-0.0042216666;-0.050353833
-0.009041473;0.012447122;-0.052115776
-0.009235388;0.015214741;-0.028216334
-0.019443188;0.019263303;-0.049309846
-0.011020035;0.007641976;-0.04340443
-0.0120898755;0.013008685;-0.044451885
-0.011341019;0.0087722;-0.027314551
-0.015174855;0.01377047;-0.04760655
-0.004431662;0.019696064;-0.04720106
0.016827071;0.03443595;-0.04838189
0.03352676;0.042990588;-0.023609359
0.03320136;0.061845727;-0.05305634
0.024804063;0.056585275;-0.058181368
0.055009995;0.077053055;-0.049103003
0.048291713;0.05236377;-0.031868234
0.0724639;0.042011242;-0.06293874
0.06942212;0.033016276;-0.051591415
0.076703854;0.06768729;-0.032111656
0.05820186;0.043697823;-0.040980652
0.027561435;0.029647991;-0.025567742
0.042051446;-0.007092866;-0.058335237
0.017145218;0.003964375;-0.05652032
0.04068742;0.0057524894;-0.07611296
0.0011016881;0.025441144;-0.053582277
0.031588875;0.009024447;-0.045916494
-0.009539661;0.015546288;-0.036954165
0.032938708;0.026408039;-0.029205142
-0.021614086;-0.011549437;-0.029200725
0.010916613;-0.03306846;-0.019437512
0.024044486;-0.019461002;-0.0065874266
-0.001345737;-0.016955875;-0.06036772
0.03266912;-0.014235393;0.014082312
0.013159403;-0.013213951;0.04800258
0.10365138;0.04988812;0.039020695
0.045323715;0.2534767;-0.024701903
0.10773873;0.18150595;0.036804076
0.021794444;0.30149773;-0.014866799
0.110201925;0.18304425;0.019856242
0.05836109;0.2971919;0.013258095
0.06144418;0.1598487;0.04458526
0.07792346;0.12738632;0.06780396
0.08829334;0.11517647;0.069937326
0.044968676;0.106654026;0.044732828
0.06432168;0.069962576;0.07596792
0.008816028;0.03817286;0.058487844
0.06795467;0.011898258;0.039390236
0.0041847755;0.009622981;-0.02676213
0.05179889;0.08048576;0.06257361
0.055568088;0.08312213;0.040940296
0.056978777;0.010876855;0.0599761
0.07062344;0.067118466;0.030474572
0.036379043;0.07930979;0.04120074
0.00044395446;0.023488617;0.07717618
-0.00281003;-0.050374087;0.059509445
0.028823616;0.038091246;0.027092574
0.01077031;0.0255302;0.103825435
0.016281273;0.08631741;0.060152993
0.035485458;-0.071520634;0.090000734
0.032143187;0.048645355;0.030306512
0.07163495;-0.0070879986;0.036464807
0.039242674;-0.01445672;-0.010730266
0.078057155;-0.0034450812;0.03218859
-0.055860065;-0.0022283054;0.010161134
-0.08274139;-0.028839245;0.06653894
-0.09113175;0.0017930218;-0.013052514
0.026617087;0.06587078;-0.0035960942
0.03809495;0.13262688;-0.025822826
0.06371756;0.089574546;-0.07999063
0.05945711;0.15730263;-0.0137852905
0.2971203;-0.22089809;-0.13298233
-0.11421422;0.07828343;-0.096398346
0.07027913;0.16041508;0.34656036
