x;y;z
-0.22106804;0.035808966;0.007735746
-0.2233638;0.016587753;-0.0080291005
-0.1914812;-0.026855461;-0.017111171
-0.17905207;0.014705991;-0.012980524
-0.10586674;-0.002330761;-0.013305489
-0.09080603;-0.0026183224;0.01770836
-0.043917123;0.014828332;0.013250124
-0.010487951;0.01067761;0.01947223
0.023271034;0.031038975;0.036507297
0.03410614;0.03778784;0.058951918
0.055859596;0.056239694;0.054864116
0.0946807;0.0046791793;0.10114721
0.11795457;0.041644692;0.124617636
0.16427435;0.0070074177;0.15654503
0.18914825;0.0060223937;0.19116846
0.21508648;-0.015059138;0.2092606
0.21447966;0.00240139;0.19920501
0.2160406;0.016251003;0.21328449
0.20797469;0.02023272;0.2075488
0.20905122;-0.006600039;0.19468775
0.19984224;0.0015122199;0.20356698
0.1745426;-0.0021226574;0.21624903
0.1576121;-0.014649237;0.20004122
0.13798888;-0.016324155;0.22028717
0.1345919;-0.052254196;0.20596114
0.12417435;-0.14106275;0.16564769
0.12367514;-0.35779703;0.12760442
0.10824582;-0.58544475;0.054791797
0.06243086;-0.8059905;-0.08585631
-0.020333935;-1.0571754;-0.21492316
-0.055672932;-1.4043994;-0.30954614
-0.11643288;-1.5180707;-0.3938316
-0.11176624;-1.5323517;-0.2212793
-0.11570784;-1.3354396;-0.098181576
-0.044692703;-1.1794375;0.13611981
-0.07617555;-0.96251595;0.30489722
-0.039877467;-0.8212596;0.5533949
-0.084885396;-0.46859834;0.66171664
-0.08010248;-0.3542637;0.6523532
-0.08484023;-0.14255005;0.6691431
-0.014040691;-0.04556398;0.6722177
-0.026861293;0.019289317;0.62673
-0.0025268039;0.009807043;0.6065156
-0.03545243;0.057281476;0.54303765
-0.022019414;0.0014794278;0.4469972
0.033399295;0.020733431;0.36274925
0.027019657;0.008408649;0.25074723
-0.008634331;0.032744166;0.1378031
-0.009963751;0.027757244;0.06077257
0.009240827;0.04621036;0.013413226
0.06681523;0.018227357;0.00482296
0.10412789;-0.04843392;-0.036474265
0.11903742;-0.070300564;-0.07868715
0.16444075;-0.13632903;-0.098980404
0.17484304;-0.15487641;-0.10447812
0.1636232;-0.11797459;-0.11997302
0.13669533;-0.0845667;-0.18117693
0.12671588;-0.08412968;-0.21127188
0.11699224;-0.08996289;-0.2267346
0.078669645;-0.17456523;-0.21036504
0.077343695;-0.12502205;-0.22938824
0.062552094;-0.2202178;-0.22351089
0.052400813;-0.21863905;-0.24619293
0.054253727;-0.19461602;-0.2408743
0.050557204;-0.0619348;-0.20025688
0.044825524;-0.024814153;-0.17350674
0.07529553;0.0889848;-0.16183464
0.054622006;0.11580559;-0.1711911
0.06481073;0.14292875;-0.115131766
0.04220673;0.16985641;-0.12908103
-0.017719552;0.18353891;-0.15833
0.014654122;0.2752256;-0.15658128
0.03477759;0.34202245;-0.079847164
0.022484496;0.5592505;-0.06272938
-0.036114812;0.7003155;-0.057533093
-0.018164769;0.87473345;-0.009095706
-0.08688249;1.0120969;-0.045466233
-0.11599257;0.97700125;-0.048155185
-0.1624081;1.0813936;-0.04587393
-0.20173347;1.0208102;-0.027306352
-0.20358741;1.0688771;-0.009623533
-0.21337767;0.9526191;-0.0014851034
-0.2404279;0.91193545;-0.033868555
-0.22864372;0.77113885;-0.020963604
-0.27342588;0.62001014;-0.09631037
-0.25915202;0.46299908;-0.08011139
-0.30408782;0.42611432;-0.16378735
-0.35257643;0.34048027;-0.24723408
-0.42573985;0.31286934;-0.38416913
-0.36570245;0.17339197;-0.41696122
-0.34877917;0.16375615;-0.48174545
-0.31722784;0.15771356;-0.46346986
-0.27421343;0.19231175;-0.47839686
-0.19907196;0.15590873;-0.4387473
-0.13534683;0.14289531;-0.39171162
-0.09659604;0.115107805;-0.3154138
-0.0029430902;0.028115435;-0.31488818
-0.016826127;0.028255431;-0.3112711
-0.0255031;0.028061202;-0.26721868
-0.011854026;-0.004867103;-0.3110549
-0.0050052083;-0.013471243;-0.35814732
0.058788016;-0.044942822;-0.38887736
0.09065499;-0.053791642;-0.42049962
0.12742218;-0.037913963;-0.4681112
0.16570915;-0.031538423;-0.4613762
0.20332989;-0.015448859;-0.44640628
0.1958853;-0.018506091;-0.42536354
0.16723368;0.007825959;-0.33760372
0.18107918;-0.013775201;-0.29756993
0.17362103;0.006909041;-0.21475855
0.16494547;-0.0035705543;-0.1486743
0.13495947;-0.00787893;-0.11735974
0.11854625;-0.015202918;-0.07263322
0.10651391;-0.0443677;-0.013706463
0.08123641;-0.026396371;0.05044054
0.056098517;-0.025652245;0.09000798
0.04093391;-0.00552799;0.1375748
0.026497664;-0.0006444907;0.18706846
0.010655143;0.006109419;0.1751271
-0.007649937;-0.0019788765;0.20451607
-0.014542346;-0.001405015;0.2264051
-0.035616074;0.006481483;0.2724427
-0.05597539;0.013290887;0.26658994
-0.06720297;-0.0021604942;0.3099707
-0.07158994;0.0018174386;0.32216778
-0.05753199;0.01725873;0.3416832
-0.07128354;0.015230665;0.29863518
-0.05621242;-0.013244221;0.2536402
-0.065111846;-0.14911067;0.22289856
-0.07729647;-0.30449727;0.084784895
-0.081543684;-0.4441979;0.020965654
-0.03200776;-0.7615963;-0.1903513
-0.039011553;-0.9634934;-0.35090423
-0.027378399;-1.1677465;-0.40719423
-0.026773324;-1.3042865;-0.2950924
-0.028739113;-1.2737192;-0.14641085
-0.057057604;-1.3305663;0.07126762
-0.014692906;-1.1667155;0.17274494
0.021281593;-0.9953913;0.29108357
0.027939491;-0.70849454;0.4310454
0.027895033;-0.52042687;0.5415085
0.020089569;-0.31369922;0.5591249
-0.013780403;-0.2169115;0.55077964
-0.023751564;-0.052273117;0.49846455
-0.045772873;-0.058712345;0.3336848
-0.08596542;-0.063423686;0.3042339
-0.03471768;0.08532565;0.28550962
0.0013600835;-0.012213793;0.20642929
-0.00935489;0.030434845;0.21403429
0.019768743;-0.06512635;0.18363696
-0.045612536;0.082329586;0.23502028
