x;y;z
-0.24702093;-0.110669516;0.40869886
-0.011582229;0.17102589;0.15661344
-0.08204266;-0.097093605;0.10986927
-0.03643611;-0.25996307;-0.028261263
0.019151527;-0.011213634;-0.091658935
-0.175304;-0.005671771;0.10063641
-0.03912002;-0.15040092;0.32742885
-0.23920979;-0.2537805;0.10481708
-0.30258143;-0.48758182;0.371165
-0.3798718;-0.5267015;0.40341794
-0.42709175;-0.7047941;0.54674804
-0.23462363;-0.7486888;0.35120803
-0.50024587;-0.90156174;0.48575175
-0.35370052;-0.8495333;0.44452927
-0.31065902;-0.7284977;0.49180472
-0.19774827;-0.68588567;0.20315582
-0.0009629524;-0.64920264;0.030064985
0.0385162;-0.48430386;-0.062283214
-0.13676825;-0.44630286;-0.051899478
0.14326864;-0.43814397;-0.2954438
0.11399287;-0.3320149;-0.2828608
0.10012687;-0.22479734;-0.18441294
0.21931854;-0.25095597;-0.14627732
0.14082815;-0.0013318635;0.050715175
0.022223577;0.18044542;-0.0016824865
0.12352087;0.26946396;0.017146165
-0.09899869;0.4123555;-0.14398345
-0.02126567;0.25575688;0.017470932
0.12796041;0.2082222;0.0151849445
0.12072976;-0.013430884;-0.06188656
0.22598228;-0.039551046;-0.08897913
0.2573227;-0.09444248;0.08587113
0.19020548;-0.10998215;-0.06141927
0.14380403;0.119763024;0.044913813
0.16220608;0.06357251;0.15009855
-0.05056793;0.42630222;0.1909638
0.02139684;0.4364539;0.23052903
0.063420534;0.40231228;0.18718262
0.10047118;0.47465542;0.23908807
0.21876423;0.38040718;-0.07940699
-0.16736832;0.39181754;-0.15833251
-0.020747934;0.25618568;-0.041565552
-0.14665695;0.65889776;-0.059311435
