x;y;z
0.28006864;-0.013852136;0.20052499
0.2917865;-0.019868223;0.18272305
0.27552417;0.004112885;0.14687802
0.23317282;0.030366737;0.13191955
0.17156553;0.036240306;0.11670335
0.09749175;0.0398714;0.1193115
0.017090356;0.039546;0.13042147
-0.07599772;-0.0029891252;0.13829686
-0.14066215;-0.015722547;0.1474956
-0.20670375;-0.05136124;0.15741307
-0.29672095;-0.081306726;0.17263207
-0.38521156;-0.0794401;0.15588588
-0.45313185;-0.06016718;0.1269571
-0.46923402;-0.0039022588;0.050898213
-0.42278022;-0.033585407;-0.017822344
-0.35307398;-0.037569646;-0.041006822
-0.26904902;-0.05379921;-0.05262263
-0.2306903;-0.046868727;-0.053904682
-0.20474483;-0.13781759;-0.05886338
-0.1797727;-0.19150075;-0.08008222
-0.1531534;-0.34216782;-0.11659732
-0.1273574;-0.41193426;-0.13467033
-0.09658374;-0.5673347;-0.14054225
-0.07534708;-0.64381593;-0.1402565
-0.06294221;-0.7511167;-0.12930804
-0.041716587;-0.7520992;-0.10660267
-0.01794894;-0.7536266;-0.08972144
-0.00035472214;-0.68329513;-0.0680279
-0.004427878;-0.63121367;-0.03688259
-0.0025360268;-0.53355;-0.0036840653
0.0048869676;-0.52955824;-0.009297031
0.0005565196;-0.486202;-0.0053561465
0.0059151887;-0.48454475;0.016431674
0.013696373;-0.48860592;0.034219887
0.02039542;-0.5158486;0.033896066
0.020510191;-0.4810158;0.035729505
0.018146323;-0.47546008;0.03118055
0.012516489;-0.39962777;0.030390069
0.016810676;-0.3833427;0.022574043
0.019822503;-0.34946528;0.012226641
0.028911589;-0.27411538;0.0028440834
0.03536091;-0.21310382;-0.011431749
0.02884758;-0.18798256;-0.020102656
0.023373509;-0.12946948;-0.022838823
0.027991202;-0.11213571;-0.01501389
0.044810705;-0.10436146;-0.013119911
0.054106478;-0.10919135;-0.0166706
0.05374718;-0.16687201;-0.0097841825
0.05133791;-0.16134843;0.001855118
0.039946914;-0.13969178;0.008578836
0.030610628;-0.15810706;0.019285848
0.026616456;-0.14316775;0.013799085
0.023594856;-0.1231671;0.009082621
0.019356163;-0.10998089;0.0029884947
0.027873278;-0.07190864;-0.004264312
0.024762284;-0.03513294;-0.015279301
0.02291978;-0.02384048;-0.017466202
0.020817302;-0.017684396;-0.013797982
0.017866487;-0.05828605;-0.013181001
0.015813513;-0.0675372;-0.01914451
0.011825332;-0.11118159;-0.017591774
0.007542023;-0.1050955;-0.01705575
0.0053730155;-0.10206349;-0.019103205
8.1822574e-05;-0.07508821;-0.028567271
0.00043354928;-0.088169105;-0.03079209
0.0049883393;-0.09533102;-0.028542047
0.009286784;-0.12771888;-0.026783729
0.008626685;-0.098391406;-0.017089134
0.008076156;-0.087724514;-0.014709657
0.0043282406;-0.087325335;-0.0053747105
-0.0013555116;-0.080792144;-0.0061840285
-0.002396818;-0.045468125;-0.0032563887
0.0005683437;-0.060768157;0.0020711042
0.0061871423;-0.049422413;0.0061405953
0.0061396887;-0.039040245;0.0060144323
0.005025388;-0.04775159;0.0016531629
0.00019754082;-0.044851065;0.0019520754
-0.0013684392;-0.035207354;0.0011175324
-0.0009609029;-0.026982846;-0.00010886029
-0.0022006962;0.005304436;-0.0018688339
-0.0030219173;-0.0068519707;-0.0049829
-0.002936784;0.013243905;-0.0046763807
-0.0010573873;-0.013932539;-0.005546278
-0.0001065743;-0.0020504517;-0.0077166255
-0.0020340555;0.0006473285;-0.00766992
-0.004948768;0.012124245;-0.011184389
-0.0064417543;-0.015367193;-0.013600165
-0.006435448;-0.0060356366;-0.023042593
-0.0088587515;-0.007626368;-0.026006531
-0.008470764;0.021091621;-0.030494636
-0.010997647;0.033585723;-0.02410932
-0.016018307;0.040118285;-0.031285547
-0.023383284;0.06015646;-0.033529952
-0.026678571;0.06990643;-0.029243529
-0.029057577;0.0749974;-0.022132473
-0.03139543;0.08296525;-0.021024993
-0.025756609;0.0776378;-0.020469733
-0.025731701;0.038456924;-0.0072481553
-0.026265047;0.07479498;-0.0027041256
-0.020914733;0.041984595;0.002244524
-0.01964262;0.020148847;-0.0030986557
-0.014343544;0.017717188;-0.010948242
-0.008918188;0.03820531;-0.019803565
-0.0054773823;0.017061977;-0.033129234
-0.0023469992;0.038151704;-0.032242518
0.00046366124;0.060142584;-0.0360492
0.0006804359;0.046311893;-0.02306423
0.0058946935;0.11202346;-0.019831436
0.014043528;0.17655262;-0.025893705
0.015692592;0.1761465;-0.022162415
0.015913308;0.22909564;-0.01790207
0.017342286;0.23292285;-0.025420127
0.025246441;0.3457762;-0.035412267
0.024006177;0.3843933;-0.037800845
0.011411174;0.6018339;-0.0609064
0.010629683;0.6685406;-0.08901079
0.016200712;0.8651669;-0.105172805
0.033147443;0.93590516;-0.11038551
0.046849336;0.9929735;-0.109298475
0.062986985;1.0056881;-0.09794252
0.06588956;0.98604935;-0.0839319
0.07298447;0.940766;-0.05714416
0.07834992;0.96181726;-0.03813736
0.08287601;0.860887;0.0025051266
0.08641236;0.7780882;0.052275795
0.10002439;0.5952231;0.10517227
0.098961174;0.5345968;0.14236182
0.1139131;0.4084419;0.16783804
0.13490066;0.33789474;0.19225521
0.16712591;0.20339042;0.23111424
0.20567554;0.16455196;0.26612893
0.25003642;0.12007202;0.29427803
0.30845344;0.05123638;0.30202407
0.362198;-0.0054296134;0.30569473
0.4205174;-0.05832704;0.276513
0.47493455;-0.05495702;0.24044438
0.48623562;-0.02103991;0.20586339
0.45939907;-0.005970683;0.17422217
0.39997333;0.061610032;0.12543716
0.3375837;0.06234407;0.08200924
0.2659738;0.08373587;0.03287801
0.22117288;0.07400166;-0.009761795
0.21126619;-0.019499943;-0.050649747
0.20337276;-0.029453604;-0.096514374
0.21007621;-0.085010976;-0.14869668
0.23700705;-0.030075394;-0.19864376
0.28827873;-0.025262523;-0.23953913
0.33110112;-0.049218405;-0.24818741
0.3395599;-0.010681394;-0.2194055
0.32222298;0.005835731;-0.202806
0.27776223;0.023457697;-0.18025923
0.2291196;0.027250228;-0.15835954
0.18118136;0.027399054;-0.11362208
0.12627478;0.049932264;-0.06724787
0.095517054;0.018385012;-0.021775603
0.07201143;0.009509707;0.005535636
0.067365676;-0.043488618;0.026897397
0.07397833;-0.10990017;0.042620376
0.08519259;-0.20316592;0.03571441
0.08801586;-0.24400343;0.0366251
0.07177936;-0.34590486;0.033395395
0.06915347;-0.4013008;0.036773372
0.05642762;-0.58883244;0.04064315
0.034612052;-0.69580656;0.029902562
-0.006374278;-0.8224281;0.025336146
-0.03910772;-0.79278916;0.023219245
-0.07088515;-0.85093963;0.0028436102
-0.08571411;-0.82056785;-0.0215608
-0.0959011;-0.79664093;-0.0226952
-0.093420886;-0.7452684;-0.020051967
-0.082003556;-0.7535395;-0.017178405
-0.07125091;-0.6657576;-0.018099422
-0.05768381;-0.5299183;-0.014884889
-0.052829947;-0.42142627;-0.003117377
-0.04162199;-0.3824655;0.0071890354
-0.029210815;-0.23079516;0.0058351792
-0.023662016;-0.20196712;-0.0035824177
-0.019183373;-0.11990996;-0.010903844
-0.013414488;-0.08613852;-0.014391668
-0.007250836;-0.029432792;-0.0151563315
-0.0032293904;-0.036408678;-0.012360806
0.0028976859;-0.004758637;-0.0066232923
0.0051319622;-0.016538566;-0.0052949376
0.004862689;-0.047092594;-0.0036308176
0.0072747995;-0.065087885;0.008422719
0.01792151;-0.05372606;0.011143792
0.021073963;-0.02230808;0.0064573223
0.013616916;-0.033066407;0.006394576
0.012017671;0.010554008;0.00889312
0.013670518;-0.13126232;-0.0076899026
-9.648442e-05;-0.05610033;0.01306745
