x;y;z
0.430289;-1.4916302;0.87641686
0.39105198;-1.3990152;0.7544167
0.23996559;-1.8987781;2.094205
-0.22288658;-1.0663937;2.1173334
-0.06926951;-1.2573396;3.0394232
0.040694356;-1.6744171;3.213017
-0.32505852;-1.2287014;3.2894955
-0.32639104;-1.1374252;3.3297896
-1.0469607;-1.2129352;3.1332843
-0.72216064;-1.2934915;1.9429818
-0.6883596;-0.93024665;1.7203412
0.7969197;-0.5334951;0.6209107
0.8779218;-1.1439186;0.4455991
0.28222135;-0.7301714;-0.28162858
0.5691307;-0.94302803;-1.216854
-0.069553286;0.006804832;0.121315606
-0.3063828;0.87925196;0.16411684
0.63779044;0.793689;2.110388
0.6424715;2.1510394;3.1836176
0.5946877;2.5098984;3.6044712
1.0489931;2.8509943;4.748479
0.7035846;2.0709884;4.7692313
0.7189678;0.3357166;4.477114
-0.43281525;-0.068989515;4.035349
-0.41927087;-0.40833342;4.5198298
-0.51916313;-0.6392704;3.350509
-1.088155;-0.8602627;3.4103622
-0.028490022;-1.5464075;1.3707144
0.019276705;-1.3398747;1.3382804
0.71955943;-1.663071;0.13949756
0.3842287;-1.8125235;0.13244474
0.5751796;-1.3170307;0.40026024
0.6368199;-1.1554296;0.49376816
-0.005944197;-0.7932364;0.75227576
-0.09034095;-1.0185528;0.5286337
-0.09124147;-1.0328103;0.56602174
0.31333977;-0.65413606;0.3250554
0.22517447;-0.4255749;0.20335636
0.50784355;-0.6437797;0.115211226
0.27912375;-0.012407865;0.32681605
-0.011412909;-0.08090124;-0.65757227
0.48335037;0.12342691;-0.4207881
0.029012172;0.22480562;-0.33600795
0.06587805;-0.040317006;0.10281077
0.23140746;0.22301011;-0.763077
-0.30649883;0.37068364;-0.0390125
-0.50377226;0.242224;0.4858829
-0.8100517;0.17498185;0.75666994
-0.74790686;-0.014084518;1.5127497
-1.135141;0.17068602;1.6028924
-1.0783471;0.0013626947;1.939516
-1.0447402;0.028980218;1.7895905
-0.88794607;-0.15596344;2.142494
-0.49952316;-0.18680838;2.107674
-0.5032306;0.06983891;2.09155
-0.35592282;-0.28245696;1.7309784
0.018398255;0.05747819;1.6081746
0.49156857;-0.04457336;0.20849717
0.44672096;-0.19679247;0.60229486
0.16316462;-0.5003303;0.23160297
0.27539366;-0.44991806;-0.16980249
0.49523434;-0.25461686;0.021017209
0.62282586;-0.2381111;-0.45619348
0.34604737;-0.10283048;0.01684
0.3400748;-0.10321153;-0.46881592
0.33520138;0.07233194;-0.99499273
0.4292611;-0.13851064;-0.9709486
0.68972296;0.6090768;-1.261204
0.40610355;0.27879915;-1.1921186
0.46614084;0.29141212;-0.4118182
0.1883275;0.72722846;0.43357196
-0.2701274;0.6992485;1.1630397
-0.37555394;0.64171106;1.060708
-0.063012525;0.06467869;0.769252
-0.78740996;0.24729761;0.32168537
-0.45361173;0.4871213;0.6236955
-0.044904985;-0.2165626;0.25949138
-0.13051441;-0.66090375;-0.40308037
-0.14560255;-0.45592648;0.058783606
-0.14050023;-0.025639022;0.32933348
0.0099524;0.20613843;0.35047176
0.37045982;-0.12144461;0.49975148
0.3731765;0.22862293;0.52647954
0.4637962;0.19050947;0.065654814
-0.021250537;-0.029588634;0.020220108
0.24840008;0.023613537;-0.3757671
0.47267905;0.8329178;-0.7608774
0.28151128;1.0051138;-0.34938204
0.21480459;1.952518;-0.35570842
-0.020811627;2.3091516;0.12147199
0.091769926;1.9335629;-0.08524935
-0.15839589;1.3883289;0.30696425
-0.00030269622;1.0642017;0.9703634
-0.5585628;0.3217497;1.6429341
-1.3117278;-0.34843993;2.0992386
-1.5561664;-1.0504165;1.8550637
-1.8349665;-0.6505554;1.8443986
-1.8089145;0.036372736;1.5238131
-1.2431141;0.39136037;1.8107792
-1.0317903;0.53357273;1.1872351
-1.1111137;0.48611373;1.0948522
-0.28477392;0.6150409;0.88409495
0.02873533;0.124433376;0.87227964
-0.27350685;0.5588176;1.1793146
-0.3824211;0.7758394;0.9377226
-1.213005;1.0409333;0.66780835
-1.2944673;1.7621889;0.6118399
-0.7040355;0.45376685;1.3602765
0.017141277;-1.149779;1.6836468
1.0248075;-1.439665;1.8257729
1.3264465;-2.2316265;0.9461174
0.8111829;-1.6669759;0.54660887
-0.13967484;-1.6149917;0.54923224
0.18691444;-1.3641686;0.8360772
-0.3309281;-1.3522115;0.9952954
-0.05282729;-0.5342367;0.8735308
0.062828325;-0.5210827;0.5732562
-0.21453665;-0.7366286;0.30697432
-0.26285613;-0.807143;-0.065099865
