x;y;z
-0.5790301;0.12233531;0.22567706
0.20423387;0.21603933;-0.02437966
0.41183364;0.070018046;-0.18924317
0.7546356;0.110494845;-0.6698623
1.2677649;0.34440526;-0.37455884
0.8839701;0.08153312;-0.45180565
0.5408387;0.087352455;-0.6842208
0.19818845;-0.4123719;-0.93809915
0.19783406;0.0467054;-0.7992158
-0.2164114;0.1240796;-0.56691533
0.17520498;0.10575512;-0.4531413
-0.010864272;0.49436533;-0.3318131
-0.22294901;0.43198723;-0.47765008
-0.043635555;0.51525015;-0.37054023
-0.46169433;0.51322836;-0.31703803
-0.91862;0.40566972;-0.45725906
-0.5093923;0.35474986;-0.25395897
-0.06943852;0.22221182;-0.360707
-0.40046838;0.093543224;-0.5514033
-0.4515802;0.013609979;-1.0631051
-0.4839195;-0.33193034;-0.91970307
-0.1796565;-0.33558288;-0.4542135
-0.25446472;0.2105555;-0.31559312
-0.45080104;0.057484537;-0.03959503
-0.16891521;-0.40980273;0.38101494
-0.1552737;-0.5145968;0.5490698
-0.19995293;-0.5671064;0.51839674
-0.35374027;-0.4621156;0.50029016
-0.46546987;-0.6398746;0.6184716
-0.22025754;-0.4724817;0.56592244
-0.072198726;-0.2601056;0.69840926
0.12530552;-0.3141356;0.59929234
0.09256829;-0.39236304;0.35312808
0.012369555;-0.5518114;0.14154027
-0.12282593;-0.49420708;-0.056944255
0.11671147;-0.7010514;0.0067028296
-0.06944797;-0.76119304;-0.10720113
0.0048664724;-0.75244796;0.0018823922
-0.20086227;-0.6028372;0.19160971
0.10311914;-0.20758654;0.09691198
0.27716506;-0.2970544;-0.06353751
0.19126806;-0.33610553;0.034794774
0.3164916;-0.2276214;0.2506837
0.12462319;-0.5042058;0.1997095
0.20329046;-0.32906687;-0.0006728685
-0.20246184;-0.3199027;0.16632116
-0.021211123;-0.14434707;-0.25204694
-0.23749262;0.07035456;-0.15359785
-0.17251416;0.008246659;-0.2154601
-0.18248421;0.12469429;-0.119360685
-0.11482087;0.042493425;0.0397087
0.08387018;0.35390714;0.27265584
-0.014526896;0.31843862;0.13830096
0.08849639;0.23611534;0.5191593
-0.043374475;0.053688064;0.5610481
0.004177208;-0.10056388;0.48627076
-0.22899853;-0.22055693;0.5885414
-0.06578409;-0.23640716;0.6119711
0.10461623;-0.16874336;0.4345091
0.106463306;-0.010959652;0.38106617
0.03235318;0.30926204;0.3428079
0.1215029;0.02853637;0.19025844
-0.030732496;-0.031549934;0.40593582
-0.16234356;-0.07733494;0.45635867
-0.026696546;-0.19809575;0.39124748
-0.12161956;-0.08851847;0.4659201
-0.22071725;0.05976942;0.4836915
-0.27496925;0.054749075;0.38488895
-0.23969;-0.028392749;0.23879957
-0.09657082;-0.038799822;0.1463057
-0.016034072;0.077459805;0.15358932
-0.14139318;0.19775082;0.18920027
-0.08949088;0.528675;0.3169532
-0.18060432;0.59318304;0.5288494
0.107542925;0.7846472;0.33989757
0.16341749;0.8163084;0.598071
0.18473865;1.2134732;0.7858726
0.024653347;1.201446;0.54448366
-0.084445946;1.278624;0.38005778
-0.30158067;1.1330115;-0.06396728
-0.21813488;0.8920842;0.056094658
-0.16116871;0.9812062;-0.43170285
-0.24348632;0.816513;-0.32843798
-0.37137547;0.71256584;-0.17865005
-0.47534907;0.77061415;-0.20388734
-0.34430495;0.6007889;-0.36930832
-0.4909575;0.70063204;-0.17384347
-0.33620217;0.48810267;-0.008750443
-0.30502445;0.43462634;0.0035718156
-0.18974386;0.27113256;0.1976518
-0.42637977;0.2980221;0.13617672
-0.38030565;0.3251588;0.46675506
-0.34055406;0.385075;0.5875485
-0.23027678;0.39477894;0.64459914
-0.5649585;0.20170414;0.58228284
-0.5062651;0.1402089;0.51134473
-0.46419787;-0.03845125;0.07011958
-0.43360224;-0.32793605;-0.04513831
-0.19541688;-0.31341922;0.057809934
-0.06182192;-0.22928734;0.008963592
-0.10187493;-0.1400916;0.21447414
-0.054665674;-0.043945182;0.29917488
0.054848555;0.07525533;0.29432037
0.013055036;-0.017498365;0.30087122
-0.08539565;0.0073328163;0.24623959
-0.14777377;0.14498518;0.23364238
-0.14384629;0.13249391;0.32189724
-0.090235636;0.11576995;0.40969428
-0.084870346;0.23413174;0.4484621
-0.099310845;0.34212244;0.26321203
-0.19400305;0.2716976;0.3942618
-0.063491166;0.101752594;0.2593186
-0.1021152;0.04477634;0.10044343
-0.10810921;-0.052445903;0.03955609
-0.032978754;-0.08872278;-0.1330867
0.014791756;-0.1031513;-0.08601239
0.0018905902;-0.27066842;-0.22450474
0.011865062;-0.39123738;-0.26034147
0.0042699086;-0.37659574;-0.33884066
0.03433458;-0.33254334;-0.43567824
0.13984439;-0.2621337;-0.3916246
0.1455893;-0.24449278;-0.32306263
0.15932351;-0.114391424;-0.2774211
0.08965042;-0.055084404;0.0066290474
0.04258936;0.057627052;0.060413122
0.26906163;0.23100136;0.021394318
0.06697722;0.24782495;-0.024696229
