x;y;z
-0.09254874;0.15999009;-0.35811204
0.014210327;0.13760948;-0.1067042
0.2564398;-0.014747612;-0.42267618
0.1506393;-0.011272912;-0.5022115
0.24477655;0.028998299;-0.39006537
0.0921773;-0.23469047;-0.5088008
0.07822868;-0.3337806;-0.6879281
-0.20533335;-0.6597781;-0.67256635
-0.32622203;-0.2707643;-0.8070807
-0.52814597;0.020438302;-0.7458633
-0.44702208;0.06668902;-0.82216185
-0.42836684;0.17584127;-0.6163726
-0.5662485;0.23531099;-0.577014
-0.34896553;0.25553235;-0.5184779
-0.58674353;0.17283323;-0.48741093
-0.59591615;0.056981303;-0.5754457
-0.21230009;-0.15288682;-0.37102738
-0.042599764;0.0370929;-0.2911307
-0.101117246;-0.11557951;-0.4268559
-0.002629358;-0.0053060125;-0.55728424
-0.17643185;-0.50248456;-0.42722893
0.21522647;-0.7138908;-0.029958097
0.3284601;-0.70040244;0.36525974
0.19039781;-0.5387961;-0.025458958
0.347955;-0.59747064;0.23438746
0.093937986;-0.36753502;0.21299662
-0.1268171;-0.4591826;0.23500736
-0.2611663;-0.14307567;0.13387623
-0.33428574;-0.079863876;0.1949991
-0.13791345;-0.1898927;0.28297368
-0.0027362478;-0.09870987;0.31363174
0.04886274;-0.09096463;0.21558909
0.08224635;-0.13472189;0.1251403
0.13984503;-0.2833287;0.051830105
0.08070575;-0.11697443;-0.07016719
0.08815586;-0.051454574;0.10876285
0.04975443;-0.06503491;0.046211623
-0.05353183;-0.09558705;0.092503965
-0.1749313;-0.07464867;0.34796998
-0.075631805;0.14621048;0.19541012
0.06270226;0.1613314;0.24777262
0.01580768;-0.043474115;0.28878057
0.09445888;-0.026403308;0.45150957
-0.03387486;-0.12090318;0.45235333
0.029055998;-0.012215685;0.4769451
-0.08667675;0.02367652;0.3546623
-0.05400826;0.06412556;0.17095289
-0.13806447;0.36118847;0.19334297
-0.009026654;0.33026746;0.13797091
-0.12073354;0.3823854;0.22585079
-0.0389425;0.24931699;0.31045794
0.019822188;0.3011077;0.46492863
-0.09040906;0.19324884;0.27522984
0.027210498;0.0902987;0.503421
-0.06594553;-0.048898682;0.38068336
-0.07947857;-0.2744906;0.40617955
-0.24988456;-0.25363043;0.55607474
-0.23010968;-0.3139212;0.5098861
-0.052814182;-0.25933182;0.3995363
-0.20447382;-0.020269925;0.40895963
-0.13405849;0.19489032;0.3337516
-0.08807073;0.05098161;0.24651833
-0.16633032;-0.11872818;0.44263017
-0.27296138;-0.17792484;0.468377
-0.14922482;-0.27531105;0.43565807
-0.039296906;-0.11665534;0.46421492
-0.056820493;0.030760873;0.5968438
-0.068334304;0.12942912;0.51371586
-0.073451765;0.08966997;0.6220811
0.02978657;0.09416123;0.54650545
0.09154353;0.20701142;0.49290738
0.016241545;0.2770421;0.3237418
-0.059204224;0.49079227;0.3081952
0.02487154;0.6400082;0.278531
0.04400888;0.91985345;0.3536009
0.1251239;0.81349546;0.26600692
0.23831904;1.0510256;0.17125417
0.06140571;0.98290765;-0.023896607
