x;y;z
-1.0551718;-1.6345596;2.64471
-1.164217;-1.2620162;2.28598
-1.0653086;-1.4247949;2.2371035
-1.1769089;-0.92254114;2.4043577
-1.5139619;-0.877906;1.7902412
-1.7722442;-1.1535122;1.854843
-1.352779;-1.2950177;2.2499082
-1.337711;-1.3557864;1.9268128
-1.3104463;-1.1888344;1.0709039
-1.3034699;-1.027361;0.7177381
-0.60784304;-0.3759607;-0.63932467
0.31729755;-0.09466194;-0.7021695
0.22125454;0.53629255;-0.8698556
0.03232039;0.36785161;0.18211971
0.3163869;-0.31780204;0.23498054
-0.2080986;-0.5856964;0.61320955
0.44500694;-0.8830204;0.018166818
0.20311232;-0.13935125;-0.49884087
-0.11779738;0.17706403;0.25802836
-0.012257305;0.081535645;0.13252546
-0.5369219;-0.28632477;0.19355154
-0.72704226;-0.39182007;0.1930975
-0.95637876;-0.07417571;0.44390652
-0.6892796;0.2789005;-0.02646574
-0.53381175;0.6730753;0.2819464
-0.12900534;0.69419473;0.48729804
0.0057360935;0.48624238;0.8824932
-0.053396873;0.7494746;0.80645335
0.25982562;0.86845815;0.83375406
0.018620864;0.80740684;0.943663
-0.10091135;0.74658006;1.0813746
0.37827885;-0.017592957;0.9194549
0.1821796;-0.031572476;0.77320725
-0.10501793;-0.33238566;0.948365
-0.06907086;-0.48007622;1.0835061
-0.18378769;-0.5702179;1.2575135
-0.10317148;-0.80930877;1.1040088
-0.12253521;-1.168454;0.9550419
-0.22469644;-1.0284035;1.0440952
-0.09908635;-0.9847932;0.9284954
-0.25472644;-0.67688614;1.0694686
-0.39377624;-0.5135355;1.0326128
-0.19285406;-0.39549217;1.029697
0.016973691;-0.072467364;0.7346109
-0.037592348;0.007166964;0.61688733
-0.09280036;-0.20403112;0.76084715
-0.036001932;-0.3059729;0.5292795
-0.2509251;-0.250157;0.4398832
-0.14727937;-0.28194323;0.5759603
0.03436737;0.008007577;0.55079615
-0.075708106;0.068376556;0.18509874
0.02222421;0.046049558;0.15156505
0.08417856;0.13907063;-0.14385134
0.009128814;0.28302917;-0.2011265
0.08600735;0.30777586;-0.22631589
0.10320554;0.32765353;-0.23388329
0.065518595;0.3299193;-0.3564904
0.030418448;0.41820446;-0.05936882
-0.12282781;0.15563694;-0.18763131
-0.091488674;0.009669253;0.008974943
-0.1435663;-0.1477927;-0.0228687
0.059832953;0.080566384;0.017137652
0.1908033;-0.059988085;-0.46749413
-2.145956;-1.4041965;3.0196414
-2.0498064;-1.1907375;2.4000292
-1.5765;-1.6805972;1.8331169
-1.3686116;-1.2792283;1.838539
-1.1886113;-1.5018487;1.5916612
-1.7681918;-1.4190941;1.4840262
-1.9126289;-0.9386837;1.9564972
-1.4112341;-1.0374749;1.3734361
-1.7931793;-1.4078194;0.7560217
-1.5200516;-1.5402722;0.24598104
0.7274143;-0.8320968;-0.9210012
1.1563134;-0.10348837;-0.84975654
1.0736573;1.0730685;-0.8157033
0.646525;0.68719673;0.48488656
0.6491358;0.6584431;0.9520174
0.0027242661;-0.3131317;1.2881944
1.2853882;-1.0279136;0.53060126
0.029588556;-0.5734126;-0.84538513
0.22370261;-0.2533605;-0.13855416
0.5980407;-0.305032;0.2564846
-0.5888583;-0.17868757;0.099889755
-0.6378219;-0.38945496;0.3923927
-1.2429287;-0.18540616;0.34523514
-1.037181;-0.0374987;-0.31652188
-0.4219604;0.39401147;0.10795157
0.12342312;0.7331649;0.54892445
0.50505114;0.797766;0.9185443
0.117066495;0.87751824;1.108519
0.77326965;1.3990128;1.2339991
0.22429222;1.2859323;1.4206467
0.10760788;1.3205217;1.2196337
0.2684247;0.23989432;0.93678933
-0.32861397;-0.011087511;0.88213754
-0.6341398;-0.70052356;0.94430876
-0.9301968;-1.1765178;1.0121177
-0.63417566;-1.0138192;1.0142392
-0.28769952;-1.148415;0.9354953
-0.36965957;-1.3901551;0.7875374
-0.38322982;-1.0040711;0.9792298
-0.2597739;-1.0327882;0.8323212
-0.6341675;-0.6728057;1.0375443
-0.5504291;-0.59273183;1.1973628
-0.12371195;-0.47082695;0.9153887
0.03939213;-0.25845402;0.6937848
0.16219221;-0.04127657;0.5338401
-0.09726513;-0.30574778;0.5048519
-0.052527886;-0.35722968;0.46252486
-0.24019575;-0.3208895;0.23987162
-0.08726858;-0.29854223;0.39423156
0.10507342;0.055970777;0.2500271
-0.16732922;0.16156505;0.019922458
-0.14184092;0.03631188;0.045959376
-0.26849028;0.09611969;-0.3971425
-0.12412436;0.36347067;-0.45849395
0.070407145;0.23560093;-0.60224944
0.01303864;0.45382187;-0.53684187
0.21916594;0.28355256;-0.5034998
-0.07798337;0.4788933;-0.021491433
0.05950377;0.08846013;-0.16027765
-0.10278807;0.033852473;0.28832826
-0.02144855;-0.25346678;0.19415945
0.06457141;-0.053566985;-0.0068712044
0.35351261;0.19118941;-0.4153648
