x;y;z
-0.032032195;-0.17178388;0.31601202
-0.070496686;-0.08781218;-0.048317257
-0.18809228;0.025212074;-0.033435952
-0.26283178;-0.00045530556;-0.14901294
-0.3847975;-0.053258136;-0.07894475
-0.2430928;-0.0452884;-0.22647685
-0.32568792;-0.060352582;0.06060656
-0.45784444;-0.3024528;0.19068159
-0.6389709;-0.3182359;0.22727317
-0.55446535;-0.039090697;0.44290888
-0.7093532;-0.05089837;0.33507085
-0.56580484;-0.0015462732;0.2171773
-0.59653986;0.19869989;0.30103865
-0.5328551;0.4090107;0.44385734
-0.555329;0.04136092;0.364824
-0.55075955;-0.21567231;0.38825837
-0.17141308;-0.51709723;0.613779
-0.19371991;-0.43980247;0.6342943
0.011664526;-0.07039579;0.7415546
-0.09141741;0.056243483;0.67624605
-0.08722948;0.16603898;0.6070983
0.2778764;0.029845849;0.5394766
0.71646744;-0.10602313;0.49371707
0.74998665;-0.4449546;0.5354141
0.52160364;-0.44915324;0.56297773
0.25454798;0.03979068;0.725356
0.13564163;0.37998468;0.49467877
0.44881904;0.3228066;0.47634548
0.35443807;0.30764404;0.1841402
0.0006098068;0.15734528;0.21108395
-0.12250305;0.16072412;0.25898814
-0.01530287;0.17598885;0.4480648
-0.009162236;0.16333741;0.79186594
0.03971469;-0.0024594069;0.5391335
0.049006835;-0.033039294;0.6365361
0.15192355;-0.2184218;0.6868329
0.21977606;-0.174435;0.4947305
0.2502907;-0.08373965;0.27963457
0.20243692;0.008855126;0.07467011
0.18281527;0.20629126;0.102252044
0.27267852;-0.031774275;0.22537246
0.40150225;-0.22058357;0.6409567
0.46823856;-0.58011353;1.1387029
0.4121392;-0.45236182;1.0319128
0.7101215;-0.5391751;0.8116913
0.72090507;-0.6011749;0.9764173
0.48592517;-0.1717511;0.59956807
0.30638534;-0.29280183;0.65081954
0.3756195;-0.15580784;0.4828711
0.16476576;-0.15790148;0.38776645
-0.08293624;-0.35339278;0.60660326
-0.09719323;-0.2149345;0.6121577
-0.3095876;-0.008911882;0.54280746
0.0809788;-0.076334946;0.54158914
0.037876125;0.23982368;0.6230396
-0.26133594;0.25818598;0.5154538
-0.34092236;0.7339917;0.8525969
-0.41737396;0.5448267;0.72081053
-0.4235988;0.6398708;0.8138089
