x;y;z
0.0014882565;0.6521786;-0.34846577
0.014640408;0.57308275;-0.44812724
0.017089725;0.79895407;-0.17335413
0.033246767;1.1649517;-0.26315653
-0.17885216;1.1723248;-0.37759712
0.23259903;1.3801901;-0.12320556
0.035148706;1.199848;-0.39048192
-0.019287426;1.1049421;-0.24260977
-0.16274494;1.1342494;-0.28028724
0.13760349;1.1974839;-0.07769014
0.23867661;1.1986909;-0.14001656
-0.12981695;0.8478571;-0.2659691
-0.092095956;0.76070714;-0.34313896
-0.33886492;0.7816209;-0.16820009
-0.43272603;0.69600457;-0.45142475
-0.17286539;0.48039025;-0.44677678
-0.019254003;0.4912722;-0.56991583
-0.25607154;0.1856045;-0.67671776
-0.25556546;0.44398975;-0.7568498
-0.10637849;0.4384971;-0.5464356
-0.61049795;0.35318345;-0.450849
-0.41642204;0.29611006;0.17886494
-0.39082593;0.15373184;0.53518724
-0.6616242;0.17908013;0.43811905
-1.0176852;0.47030923;0.97643876
-1.2326585;0.38822052;0.98245484
-0.9342946;0.060751133;0.6804684
-0.47039104;-0.53496003;0.28249314
-0.2738248;-0.66462;-0.34458402
-0.044334907;-0.35204577;-0.38352117
-0.3019013;-0.34940225;-0.07659444
-0.22383818;-0.16487359;0.102508396
-0.51827645;0.17138155;0.15516649
-0.48041674;0.07927362;0.23564932
-0.2756374;0.14196704;0.04082111
0.037120648;0.11220445;0.0036815428
0.32121083;-0.08087286;-0.08946943
0.07645223;-0.0464109;-0.33298856
0.042917594;0.20506155;-0.41167066
0.57614344;-0.011840467;-0.41486725
0.5516908;-0.10294699;-0.5978194
0.72006476;0.22076897;-0.59566456
0.5225538;0.23246062;-0.79146266
0.1815966;-0.026581774;-0.61745524
-0.30107364;-0.12338403;-0.6836674
-0.048907828;-0.49801093;-0.4251321
-0.10567756;-0.6943044;-0.5392369
-0.27724704;-0.8680104;-0.41761357
-0.05315409;-0.94847083;-0.2870115
0.03177396;-0.6919673;-0.11047025
-0.05536219;-0.5613842;-0.012811933
0.08738115;-0.5740142;-0.019731695
-0.022710731;-0.36227188;0.25841144
-0.13997525;-0.22764395;0.1957795
-0.017756917;0.058485955;0.4696767
-0.035693873;0.2074188;0.3470674
0.07096682;0.23285538;0.29599717
0.106240064;0.50079954;0.04564249
0.056896802;0.44381195;0.016500728
0.023834806;0.26125836;0.039501227
0.10107626;0.1424665;0.15687074
-0.07575257;-0.11817008;0.14270583
-0.059244905;0.015189044;0.08782447
-0.09380083;0.021588547;-0.0763321
-0.29330128;-0.07323231;-0.012136858
-0.14459199;-0.15626945;0.057214633
-0.06673979;0.055790696;0.12967949
0.060199812;0.2575844;0.2042531
0.080912754;0.26586062;0.22902437
-0.084086485;0.16491647;0.026486864
-0.18367796;0.2810585;0.16621616
-0.11701006;0.28592938;0.13172646
-0.16438203;0.14377439;0.26473778
-0.10350761;0.10347292;0.35666633
-0.11706272;0.32907116;0.28715783
-0.038659353;0.32563934;0.37598908
-0.11033782;0.49284366;0.3027968
-0.10192097;0.40127304;-0.0025940435
-0.25213113;0.39925885;0.103240535
-0.015765429;0.2836415;0.06968698
0.043975767;-0.07775509;-0.13194497
0.025714045;-0.43211147;-0.16097164
0.028746681;-0.2727974;-0.26058677
-0.10486312;-0.09660298;-0.2901608
-0.11023471;-0.15416697;-0.23679926
-0.18382931;0.004003158;-0.18088591
0.04750786;0.05599628;-0.29548606
-0.08996605;0.15434355;-0.15019219
-0.02807886;0.09774061;-0.19441643
0.11588284;0.031334106;-0.08809595
0.14676636;-0.07970496;-0.025978588
0.3073505;-0.08293877;0.052332077
0.31230462;-0.075539105;-0.022686135
0.26419988;-0.30207694;-0.14122166
0.25842312;-0.15872255;-0.12639302
0.19791037;-0.27098626;-0.12912264
0.16581793;-0.1354326;-0.21988453
0.07441881;-0.15370661;-0.22802863
-0.09315035;-0.022985995;-0.1939958
-0.24051201;0.04143659;-0.0087413
-0.11904758;0.16487359;0.10092774
-0.17891775;0.122001715;0.14167823
-0.040159907;0.21810901;0.11092808
-0.00068295834;0.22855204;0.27795947
0.07781532;0.15662007;0.22256449
-0.2101519;0.1850445;0.5795009
-0.2818023;0.14147013;0.45886052
-0.23838589;-0.2207513;0.6308046
-0.42755464;-0.06841565;0.7967564
-0.8249872;-0.058058396;0.87606436
-1.1690733;-0.03732749;0.6940701
-1.2856297;-0.09160849;0.47691682
-1.3964171;-0.19436502;0.25035563
-1.129294;-0.121237405;0.13628519
-1.0656748;-0.086793095;0.03149554
-1.0829374;-0.25969192;-0.15882975
-0.9564936;-0.24585113;-0.076029725
-0.75950515;-0.21837893;-0.08406379
-0.5587999;-0.27087277;-0.20852363
-0.36332753;-0.047097012;-0.10491956
-0.36509454;-0.03471926;-0.122400895
-0.28685513;0.011568041;-0.023499947
-0.15361959;0.12854122;-0.009439077
0.09096274;0.036606062;-0.025517922
0.35585725;0.028073814;-0.043396547
0.46073768;0.04053985;-0.07263322
0.48579085;0.0925746;-0.012420004
0.3177377;0.057951193;-0.0321867
0.5655589;0.0039552306;-0.12984155
0.55342454;-0.058291726;-0.14273672
0.47693574;-0.03988275;-0.20681216
0.0684043;0.068902485;-0.15373783
-0.12572865;0.11083222;-0.04577902
-0.40841284;0.19475223;0.04390451
-0.5689566;0.12848698;0.264046
-0.6381719;0.09574661;0.12162776
-0.54018533;0.07236962;0.2601466
-0.38224733;-0.042067207;0.16005693
-0.34383896;0.0024215698;0.15452832
-0.27285922;-0.123405464;0.17003518
-0.21540493;-0.079301365;0.2283414
-0.22004502;-0.035078708;0.24942547
-0.29325965;-0.020402987;0.3382315
-0.17864627;-0.10863515;0.29789343
-0.34320077;-0.0769025;0.2431811
-0.16410929;-0.33397734;0.1568534
-0.052003212;-0.34156117;0.27911618
0.22277685;-0.20157802;0.14429402
0.1802165;-0.2280526;0.17632622
0.20068128;-0.18000461;0.15432778
0.2641731;-0.08079341;0.12538876
0.26007405;0.025349548;0.07777653
