x;y;z
0.15671411;-0.28888634;0.26818413
0.06819911;-0.78954715;0.3332661
0.118053734;-0.87642664;0.23169881
-0.0032889836;-0.66988593;0.20363407
0.06665276;-0.23275921;0.13793378
-0.04703639;0.09435262;0.23176378
-0.0209826;0.24520034;0.34674057
-0.0969789;0.3047372;0.278472
-0.16102864;0.33209434;0.13095805
-0.18436801;0.5377033;0.07593292
-0.15811779;0.4955112;0.036747005
-0.05129818;0.24542673;-0.02641403
-0.022299252;0.17620514;-0.011065597
-0.019957455;0.19125734;0.11019435
0.0073157893;-0.11823566;0.30367413
0.087320454;-0.277679;0.5042221
0.057027496;-0.3067675;0.43140218
0.134405;-0.12361168;0.34924272
0.12365787;0.20733935;0.33342037
0.13527715;0.5675491;0.35325515
0.124083616;0.7492324;0.45633125
0.15712307;0.85599023;0.5924916
0.112365484;1.0055417;0.68824327
0.14217097;0.94091415;0.67550254
0.07939658;0.87510484;0.76482064
0.057387814;0.6258484;0.75665796
-0.086714506;0.5029235;0.7979451
-0.09153336;0.26021028;1.0585078
-0.23394674;0.3161107;1.2181726
-0.21415828;0.1385882;1.2924516
-0.22513545;0.26118016;1.299374
-0.1706915;0.29713416;1.2720304
-0.1742649;0.634759;1.2264255
-0.11151597;0.7478754;1.2931952
-0.12058204;0.639075;1.291403
0.0050536077;0.27461737;1.3976216
-0.005495986;0.39169773;1.4312688
-0.011794432;0.07345428;1.4783483
0.0033397484;-0.09648064;1.5329773
-0.010008525;-0.34737167;1.6663301
0.0075702434;-0.28349647;1.7442592
-0.0021704265;-0.1710284;1.7902615
0.057501722;-0.26294214;1.8842486
0.10704694;-0.2941955;1.6678966
0.023504676;-0.12751836;1.3710045
-0.042063423;0.17742918;1.0476669
-0.020275127;0.180581;0.7875197
-0.09271349;0.15761644;0.7174884
-0.09701067;0.03581527;0.70069385
-0.24059051;-0.15246682;0.7979905
-0.36528656;-0.34462848;0.8778594
-0.44346574;-0.27683336;0.73586464
-0.43192795;-0.10546188;0.6178459
-0.4531192;0.17941815;0.46139228
-0.4177542;0.27251235;0.4366494
-0.31750247;0.2989882;0.4784946
-0.2419492;0.48535824;0.37023026
-0.2048216;0.49284494;0.35795844
-0.16635397;0.47180378;0.32585755
-0.24354559;0.38930392;0.39499336
-0.23062867;0.32358855;0.36810887
-0.24938762;0.09788313;0.4497965
-0.34855846;-0.07487948;0.43387467
-0.42895398;-0.07938334;0.53435975
-0.44580156;-0.13340327;0.5922806
-0.3320029;-0.106817715;0.650812
-0.6948171;-0.13300472;0.71577066
