x;y;z
0.84737724;-1.9915683;3.2148798
0.8192057;-2.060853;3.289811
1.6270703;-2.142982;4.081726
1.6201557;-1.9420612;3.9793844
1.4956071;-1.4988565;3.4214926
0.9897725;-1.2984552;3.0170655
0.13517405;-0.9403;2.2490027
0.5067157;-1.0269284;1.3816594
0.21479702;-0.74227357;1.7226316
-0.15265286;-0.20140964;0.22523627
-0.90880316;-0.7525309;0.053181205
0.051322147;-0.3928729;-0.4654484
0.36684388;-0.6376277;0.02121396
0.7269628;-0.3093054;0.6779916
-0.5033201;0.08205622;1.4435331
-0.4262524;-0.30438125;3.2477539
-0.91164786;1.1993058;4.3442836
0.81604254;1.9072435;5.9985085
1.803215;0.6257639;5.8446455
1.6770935;-0.5412038;5.6582704
1.8049927;-1.455797;4.0431085
0.3230065;-0.9649637;1.9947379
-0.32222012;-0.45570254;1.031957
-1.0255524;-1.0207849;0.30776134
-1.1761369;0.04547112;-0.64850146
-0.42946666;0.1643363;-0.056795903
-0.04046922;0.44413957;-0.5185489
0.2066091;-0.01607916;-0.20701395
0.15142442;0.053119402;0.69878435
-0.009906995;-0.334179;0.67925036
0.08291228;-0.48743805;1.0200913
0.5022581;-0.31795022;1.1896263
0.3208246;-0.34201622;1.2065169
0.14846177;-0.56253964;0.6544746
-0.19065069;-0.8038709;0.9351043
-0.024022097;-0.68118346;0.8687129
-0.18865164;-0.33161545;0.046796836
-0.15710564;-0.06251843;-0.005382948
-0.1076186;-0.14805432;0.10379958
-0.21409704;0.047818042;0.09499617
-0.4351788;-0.07141179;0.7620478
-1.0215114;-0.22020818;1.191387
-0.90579194;-0.0022282857;1.7568539
-1.2006925;0.14826219;1.603286
-0.32615644;0.0039694197;1.5389833
-0.0282857;0.3132227;1.3498132
0.03006278;0.034384005;1.0130334
-0.006849133;-0.04586431;0.47844166
0.04782474;0.2018302;0.72314626
0.13516584;0.21821725;0.65165955
-0.04362294;0.24243909;0.71369714
-0.086564176;0.29602706;0.7316723
-0.12055507;-0.14543529;1.0343837
-0.044419408;-0.21620655;1.1591197
-0.21778804;-0.12316469;1.1509973
-0.28272837;-0.24238972;1.1304846
-0.3319676;0.16669936;0.9642388
0.014349062;-0.062694065;0.6513216
0.24766164;-0.07107544;0.61026585
0.33032674;-0.2175149;-0.113400094
0.28433266;-0.37375528;0.104490735
0.44176117;0.005767309;-0.20698369
0.63660985;-0.2904006;-0.13846838
0.17592326;-0.32361975;-0.39865094
0.07806662;-0.16197322;-0.38011077
-0.31278548;0.074926145;-0.7770615
-0.11094952;-0.056800473;-0.7377212
-0.1043974;0.5120827;-0.4601487
0.3242381;0.3283163;-0.29251048
-0.53865296;0.95515513;-0.05794615
-0.085722946;1.1742713;0.05900054
0.4800119;0.81723326;0.32807732
0.63623405;1.0024451;0.57075894
-0.05320895;0.6312361;0.24017936
0.38755646;0.2821999;0.9594764
0.12831861;0.14816791;1.3184439
-0.16040188;0.4257952;0.52620715
0.2937383;-0.041324973;0.40766117
0.05263383;-0.5394554;0.8126283
-0.09621704;-0.46883136;0.8800792
-0.107536614;-0.38105857;0.9159285
0.18800145;-0.37467393;0.70173055
0.051811505;-0.39783;0.358019
0.107081935;-0.3349925;0.596695
0.13535944;-0.46343005;0.69145906
0.3337516;0.17463931;0.9408101
0.46475127;0.024328263;0.69976306
0.3534234;0.051097408;0.47030923
0.29919505;0.8158618;0.05444496
0.021862235;0.8312683;0.27507016
0.2074371;1.1251584;0.74132323
-0.21519999;1.4534883;0.47805825
-0.6149655;1.3930414;0.93154764
-0.7743307;1.2843868;0.32836488
-1.5763549;1.1704935;0.43258315
-1.2550615;0.90847087;-0.4390407
-1.3597909;1.4963188;-1.0243644
-1.178031;1.4194738;-1.2084743
-0.81686354;1.2410457;-0.83424085
-0.3110645;0.5797415;-0.41516805
-0.16213071;0.12489877;-0.19239372
-0.2985909;-0.430318;0.6414032
-0.3923867;-1.0801638;1.0354027
-0.96538216;-0.9292118;2.1307695
0.23075606;-0.8635015;2.78871
0.15679412;-0.40321156;1.9212836
-0.35293812;-0.32715786;1.2605582
0.6447026;-1.1425363;0.4675446
0.51708394;-1.0574762;0.56562823
-0.12874176;-0.6783681;0.33195686
-0.8172085;-0.35421008;0.068368986
-0.648876;-0.26178998;0.15738186
-0.81271094;0.314333;0.55935234
-0.71417075;0.50099254;1.6431865
-0.7169404;0.52229035;2.3873954
-0.060027815;0.26322842;3.1624491
-0.17761017;0.27119565;3.482389
-0.30124643;0.14768045;3.636784
-0.41229054;-0.47505334;3.006389
-0.9943293;-0.64505136;1.9241794
-1.2095463;-1.8326434;0.54344064
-1.47013;-1.8991601;0.08103178
-1.0055518;-2.0583782;-0.30407855
-0.59130573;-1.0392851;-0.7450161
0.34028476;-0.041056484;-0.907453
-0.34827217;-0.2815272;-0.3538317
-0.06529788;0.05374624;-0.12451914
-0.097947456;0.15943073;-0.37367848
-0.50299156;0.16001074;0.06255722
-0.8390525;0.014078369;0.7590007
-0.82731795;0.12549818;1.0502954
-0.5055128;0.11264887;0.7858498
-0.32231346;0.17208329;0.9797873
-0.1362688;0.23667061;1.0939038
0.08107593;0.07334077;0.7490319
0.2917752;-0.12701528;0.3701672
0.4243574;0.19535556;0.3068835
0.6059701;-0.07098526;0.29411983
-0.038719893;-0.17419411;0.0644743
-0.15694295;-0.19173126;0.016688652
0.14243497;-0.08142434;0.39920586
-0.110527;0.055266023;0.49944878
-0.19869232;0.17011228;0.5585452
0.19332074;0.28985906;0.7648024
-0.20927155;0.38202408;0.8589409
0.2939975;-0.14881964;0.6064317
0.1919548;-0.47846058;0.7843868
0.003462088;-0.5440356;0.6158254
