x;y;z
-0.030909698;-0.06852034;0.27933437
0.17328128;-0.1223208;0.4516568
0.3721048;0.05761066;0.55916977
0.14868596;-0.14182705;0.13679379
0.15267114;0.09356719;0.43999732
0.12688868;0.1633664;0.29042882
0.18924159;0.16337019;0.40664145
0.058782972;0.3259912;0.5481302
0.09023312;0.11432332;0.5414179
0.0977444;-0.3626351;0.69979644
0.02677222;-0.55374867;0.8280564
-0.104889914;-0.3609539;0.7671476
0.13189168;-0.048605446;0.5828876
0.04304782;0.13016315;0.38251027
0.024308398;0.24769758;0.38330233
0.13657969;0.15044254;0.5573571
-0.044416256;0.16337273;0.477637
-0.19804153;0.07761257;0.67259604
-0.18492405;0.0596753;0.5536402
-0.07391401;0.13780372;0.6947812
-0.30531076;0.0164919;0.44548687
-0.10597931;-0.018349698;0.4937833
-0.104869105;-0.09356215;0.5278001
-0.064476505;-0.2385019;0.5299555
0.07295736;-0.2645035;0.5282238
0.053427145;-0.18509243;0.46905681
0.14138813;0.072864026;0.67927176
0.1058557;0.06669785;0.5085334
0.12174379;0.25127822;0.58364624
0.10406349;0.34447083;0.61031127
0.08804581;0.17563948;0.62491006
0.12941746;0.30362576;0.57025445
0.15717311;0.17395826;0.5791777
0.18967356;0.03269876;0.5645537
0.1632756;-0.10621358;0.5368948
-0.33058777;-0.31023207;0.6892166
-0.18848643;-0.51712114;0.89066344
-0.636585;-0.3659156;0.593837
-0.8267353;-0.1551583;0.7440828
-0.9800389;0.14986363;0.56578463
-0.851854;0.17975111;0.46537524
-0.9717167;0.1746078;0.23066208
-1.186409;0.50829005;0.0832011
-0.9393559;0.54913634;0.21688688
-1.050612;0.438347;0.06767279
-0.9615498;0.3450371;-0.28472364
-0.89858145;0.24898657;-0.2166523
-1.0962662;0.002740662;-0.022296099
-1.1550736;-0.000780704;0.038742594
-0.8220826;-0.330205;-0.20566191
-0.7930666;-0.22746612;-0.02466722
-0.97765076;0.23697834;0.46367007
-1.1281766;0.18971612;0.08214167
-1.0578804;-0.042634763;-0.24375874
-1.3412646;0.12817672;-0.22974643
-0.7965489;0.021023514;-0.46178326
-0.9717154;-0.3598957;-0.64848375
-1.3461254;-0.45505837;-0.5888652
-1.0519677;-0.9202734;-1.0049086
-0.7206339;-1.1908624;-1.1478493
-0.5605606;-1.1247435;-1.3425019
-0.19841486;-0.7221272;-1.0479027
0.36283693;-0.39903814;-1.2772974
0.5379214;0.27703515;-0.97400075
0.8000665;0.3160262;-0.592046
0.066628486;0.4748295;-0.2187245
-0.2784654;0.4504952;0.11428296
-0.40209407;0.23281753;-0.038606383
-0.9231781;0.1421966;0.16900034
-0.696953;0.13998692;-0.6131339
-0.6259707;0.24857035;-0.41074994
-0.072389804;0.058151726;-0.5801236
-0.19320849;0.4347891;-1.0028023
-0.6121098;0.34816623;-0.46090168
-0.5932972;0.5756929;-0.80303293
-0.09408051;0.6725418;-0.45192546
-0.1607544;0.6209485;-0.6577122
0.05981782;0.4764716;-0.4902859
0.64872086;0.27856377;-0.7337363
0.7153468;0.13998187;-0.91295385
0.76606864;-0.21427612;-1.1273366
0.95928216;-0.22226983;-1.4716076
1.1147293;-0.20545757;-1.849634
1.3330287;-0.4280919;-2.1736054
1.4707631;-0.31379887;-1.7464852
1.0137864;-0.112126246;-1.7076519
0.78835845;-0.016816037;-1.7607013
0.8416734;-0.08388217;-1.7334038
0.8072303;-0.14396106;-1.8041086
0.37480855;-0.50165343;-1.9495522
0.52483994;-0.58530855;-1.5245636
0.58326787;-0.103837416;-1.553736
0.47146323;-0.106206015;-1.5764269
0.24700642;-0.2711225;-1.5572433
0.30005646;0.13518035;-1.1686256
0.43823224;0.16510439;-1.1152817
0.7607008;-0.084946655;-1.0350306
0.6111487;-0.34930384;-0.95684046
0.30359548;-0.45442268;-1.3962456
0.42291832;-0.24929304;-1.4783746
0.36566207;-0.64766645;-1.1459928
0.4617265;-0.7108669;-1.8068997
0.045491457;-0.9050655;-1.4071894
-0.25044706;-1.2565727;-1.1330273
-0.11538023;-1.8705832;-0.7660939
0.10166809;-1.7639527;0.07631729
-0.47298804;-1.4521888;-0.120856516
-0.16711101;-0.80595773;0.10094919
-0.6016996;-0.10146945;-0.40672535
-0.9885781;-0.15469226;-0.11623283
-0.39259827;-0.27139553;-0.20543739
-0.52630925;-0.6367858;0.49558938
0.04322502;-1.2597208;0.3442564
0.07505605;-0.5954795;0.42511162
